,time,PressMode
420,2023-02-16 04:31:37.359,4
421,2023-02-16 04:32:50.648,8
422,2023-02-16 05:47:05.459,16
423,2023-02-16 09:22:55.250,8
424,2023-02-16 09:26:44.165,0
425,2023-02-16 09:26:45.165,4
426,2023-02-16 09:30:48.144,0
427,2023-02-16 09:30:49.144,16
428,2023-02-16 13:10:01.736,8
429,2023-02-16 13:22:47.805,4
430,2023-02-16 13:24:25.196,16
431,2023-02-17 05:18:23.095,8
432,2023-02-17 05:31:40.285,16
433,2023-02-17 07:27:05.977,0
434,2023-02-17 07:27:06.987,8
435,2023-02-17 07:39:19.918,0
436,2023-02-17 07:39:20.928,4
437,2023-02-17 07:40:26.188,16
438,2023-02-17 08:36:48.713,8
439,2023-02-17 08:49:26.742,32
440,2023-02-17 08:49:27.742,4
441,2023-02-17 08:53:04.608,16
442,2023-02-17 12:04:05.456,8
443,2023-02-17 12:12:28.467,4
444,2023-02-17 22:28:52.365,0
445,2023-02-17 22:28:53.374,8
446,2023-02-17 22:35:39.999,16
447,2023-02-18 03:27:21.980,8
448,2023-02-18 03:37:51.499,0
449,2023-02-18 03:37:52.509,16
450,2023-02-18 04:52:48.480,8
451,2023-02-19 22:57:01.084,32
452,2023-02-19 22:57:02.095,4
453,2023-02-20 06:39:20.987,16
454,2023-02-20 16:10:39.052,0
455,2023-02-20 16:10:40.052,8
456,2023-02-20 16:19:38.204,16
457,2023-02-20 19:16:16.585,8
458,2023-02-20 19:23:06.227,32
459,2023-02-20 19:23:07.227,16
460,2023-02-20 22:48:42.546,4
461,2023-02-21 05:20:38.582,16
462,2023-02-21 11:15:30.724,8
463,2023-02-21 11:25:35.145,16
464,2023-02-21 15:06:19.105,8
465,2023-02-21 15:14:19.029,16
466,2023-02-21 17:28:38.259,8
467,2023-02-21 17:36:42.190,16
468,2023-02-21 20:33:12.572,8
469,2023-02-21 20:39:20.048,0
470,2023-02-21 20:39:21.048,16
471,2023-02-22 06:43:30.956,8
472,2023-02-22 06:54:05.505,16
473,2023-02-22 15:23:17.668,8
474,2023-02-22 15:29:55.262,16
475,2023-02-22 19:49:42.598,8
476,2023-02-22 20:00:07.086,16
477,2023-02-22 23:47:14.588,4
478,2023-02-23 03:24:42.763,16
479,2023-02-23 07:22:55.911,4
480,2023-02-23 07:23:40.102,16
481,2023-02-23 08:02:20.374,4
482,2023-02-23 08:23:49.529,16
483,2023-02-23 08:32:06.513,4
484,2023-02-23 08:32:47.671,16
485,2023-02-23 08:35:59.440,4
486,2023-02-23 08:36:19.519,16
487,2023-02-23 08:57:24.153,16
488,2023-02-23 08:58:15.982,16
489,2023-02-23 09:07:38.033,4
490,2023-02-23 09:15:19.553,4
491,2023-02-23 09:16:39.983,4
492,2023-02-23 09:17:14.322,16
493,2023-02-23 09:17:29.262,16
494,2023-02-23 09:20:51.835,16
495,2023-02-23 09:25:41.575,4
496,2023-02-23 09:30:29.526,16
497,2023-02-23 09:34:18.069,16
498,2023-02-23 09:35:50.688,16
499,2023-02-23 09:40:17.328,16
500,2023-02-23 09:40:50.605,16
501,2023-02-23 09:43:04.209,16
502,2023-02-23 09:43:41.559,16
503,2023-02-23 09:51:29.756,16
504,2023-02-23 09:51:29.808,16
505,2023-02-23 10:14:47.973,16
506,2023-02-23 10:14:48.026,16
507,2023-02-23 10:17:41.858,8
508,2023-02-23 10:33:07.552,4
509,2023-02-23 10:37:06.507,16
510,2023-02-23 11:02:59.029,16
511,2023-02-23 11:02:59.081,16
512,2023-02-23 11:05:06.588,16
513,2023-02-23 11:05:06.638,16
514,2023-02-23 11:06:18.926,16
515,2023-02-23 11:06:39.595,16
516,2023-02-23 11:06:39.647,16
517,2023-02-23 13:00:23.191,16
518,2023-02-23 14:47:18.357,16
519,2023-02-23 14:47:18.407,16
520,2023-02-23 14:55:11.005,16
521,2023-02-23 15:00:12.484,16
522,2023-02-23 15:01:54.526,16
523,2023-02-23 15:07:58.368,16
524,2023-02-23 15:16:02.418,16
525,2023-02-23 15:49:44.519,8
526,2023-02-23 16:00:16.038,16
527,2023-02-23 22:31:16.869,8
528,2023-02-23 22:49:08.155,16
529,2023-02-23 23:09:21.005,4
530,2023-02-23 23:09:34.055,16
531,2023-02-23 23:09:38.063,4
532,2023-02-23 23:09:45.095,16
533,2023-02-23 23:12:10.683,4
534,2023-02-23 23:12:24.740,16
535,2023-02-23 23:18:14.134,4
536,2023-02-23 23:18:28.194,16
537,2023-02-23 23:30:35.094,4
538,2023-02-23 23:31:18.263,16
539,2023-02-23 23:56:43.369,4
540,2023-02-23 23:56:51.400,16
541,2023-02-23 23:59:18.997,4
542,2023-02-23 23:59:30.039,16
543,2023-02-24 05:00:16.217,4
544,2023-02-24 05:12:40.188,16
545,2023-02-24 08:41:14.236,4
546,2023-02-24 08:41:26.276,16
547,2023-02-24 08:42:46.605,8
548,2023-02-24 08:52:27.927,0
549,2023-02-24 08:52:28.927,16
550,2023-02-24 11:57:22.293,8
551,2023-02-24 12:08:09.884,16
552,2023-02-24 19:15:19.388,0
553,2023-02-24 19:15:20.388,8
554,2023-02-24 19:25:08.746,16
555,2023-02-24 20:19:07.694,8
556,2023-02-24 23:16:18.198,4
557,2023-02-25 01:34:56.476,0
558,2023-02-25 01:34:57.476,16
559,2023-02-25 01:35:22.575,4
560,2023-02-25 01:35:32.615,16
561,2023-02-25 01:35:50.686,4
562,2023-02-25 03:01:01.128,16
563,2023-02-25 03:01:27.230,4
564,2023-02-25 23:12:33.806,64
565,2023-02-26 00:19:55.961,4
566,2023-02-27 06:37:15.920,16
567,2023-02-27 08:13:59.128,4
568,2023-02-27 08:14:08.158,16
569,2023-02-27 12:03:52.262,4
570,2023-02-27 12:03:56.282,16
571,2023-02-27 12:03:59.292,4
572,2023-02-27 12:04:05.311,16
573,2023-02-27 13:22:21.844,8
574,2023-02-27 13:31:09.936,16
575,2023-02-27 17:41:39.299,8
576,2023-02-27 17:51:40.719,16
577,2023-02-27 21:42:53.198,8
578,2023-02-27 21:50:09.941,16
579,2023-02-28 00:48:46.782,8
580,2023-02-28 01:04:36.584,16
581,2023-02-28 06:20:19.325,8
582,2023-02-28 06:34:38.765,4
583,2023-02-28 06:55:45.832,16
584,2023-02-28 10:25:14.082,4
585,2023-02-28 10:28:25.848,16
586,2023-02-28 10:41:26.966,8
587,2023-02-28 12:48:00.344,16
588,2023-02-28 12:48:01.342,4
589,2023-02-28 12:49:09.611,16
590,2023-02-28 19:05:48.970,32
591,2023-02-28 19:05:49.970,8
592,2023-02-28 19:21:36.756,16
