,gameweek,manager,net_points,player_name,photo,team_in,player_name_out,team_out,in_points,out_points,gw_until_out
320,34,Ali,0.0,Sancho,209243,MUN,Olise,CRY,0.0,0.0,
321,34,Ali,0.0,Forster,40383,TOT,Johnstone,CRY,0.0,0.0,
340,36,Ali,0.0,Vinícius,245824,FUL,Welbeck,BHA,0.0,0.0,
345,37,Ali,0.0,Luis Díaz,244731,LIV,Maddison,LEI,0.0,0.0,
92,15,Dani,0.0,Barnes,201666,LEI,Dasilva,BRE,0.0,0.0,
104,16,Dani,0.0,Tielemans,166989,LEI,Jensen,BRE,0.0,0.0,
144,20,Dani,0.0,Billing,168991,BOU,Zaha,CRY,0.0,0.0,
208,24,Dani,0.0,Weghorst,120202,MUN,Adams,SOU,0.0,0.0,
13,6,Ruslan,0.0,Trossard,116216,ARS,Kanté,CHE,0.0,0.0,
14,6,Ruslan,0.0,Douglas Luiz,230046,AVL,Grealish,MCI,0.0,0.0,0.0
26,7,Ruslan,0.0,Dier,93264,TOT,Struijk,LEE,0.0,0.0,
35,9,Ruslan,0.0,Xhaka,84450,ARS,Carvalho,LIV,0.0,0.0,
164,21,Ruslan,0.0,Pinnock,231065,BRE,Cucurella,CHE,6.0,6.0,1.0
206,23,Ruslan,0.0,Tierney,192895,ARS,Kiwior,ARS,0.0,0.0,0.0
258,28,Ruslan,0.0,Mudryk,465920,CHE,Casemiro,MUN,0.0,0.0,1.0
286,31,Ruslan,0.0,Edouard,199670,CRY,Bamford,LEE,0.0,0.0,
303,32,Ruslan,0.0,Guéhi,209036,CRY,Chilwell,CHE,0.0,0.0,
304,32,Ruslan,0.0,Fabianski,37096,WHU,Steele,BHA,0.0,0.0,
341,36,Ruslan,0.0,Konaté,204716,LIV,Zinchenko,ARS,0.0,0.0,
342,36,Ruslan,0.0,Casemiro,61256,MUN,Bowen,WHU,0.0,0.0,
343,36,Ruslan,0.0,Lewis,477064,MCI,Konsa,AVL,0.0,0.0,
350,37,Ruslan,0.0,Sterling,103955,CHE,Willock,NEW,0.0,0.0,
34,7,Sami,0.0,Jonny,114128,WOL,R.Sessegnon,TOT,2.0,2.0,6.0
89,14,Sami,0.0,De Cordova-Reid,96994,FUL,Rice,WHU,2.0,2.0,1.0
123,17,Sami,0.0,Alexander-Arnold,169187,LIV,Estupiñán,BHA,0.0,0.0,
150,20,Sami,0.0,Nørgaard,128295,BRE,De Cordova-Reid,FUL,0.0,0.0,
167,21,Sami,0.0,Joelinton,180974,NEW,Bruno Guimarães,NEW,0.0,0.0,0.0
171,21,Sami,0.0,Mudryk,465920,CHE,Joelinton,NEW,4.0,4.0,6.0
178,22,Sami,0.0,Estupiñán,204214,BHA,Cancelo,MCI,0.0,0.0,
214,24,Sami,0.0,Saint-Maximin,170137,NEW,Madueke,CHE,2.0,2.0,1.0
273,30,Sami,0.0,Saint-Maximin,170137,NEW,Zaha,CRY,0.0,0.0,1.0
292,31,Sami,0.0,Ramsey,232653,AVL,Saint-Maximin,NEW,0.0,0.0,
298,32,Sami,0.0,Antony,467169,MUN,Sancho,MUN,0.0,0.0,
306,32,Sami,0.0,Tierney,192895,ARS,James,CHE,0.0,0.0,1.0
307,32,Sami,0.0,Enciso,474120,BHA,Havertz,CHE,0.0,0.0,
312,33,Sami,0.0,Steele,49262,BHA,Leno,FUL,0.0,0.0,
313,33,Sami,0.0,James,225796,CHE,Tierney,ARS,0.0,0.0,0.0
322,34,Sami,0.0,Paquetá,224024,WHU,J.Ayew,CRY,0.0,0.0,
323,34,Sami,0.0,Pedro Porro,441164,TOT,Chilwell,CHE,1.0,1.0,1.0
324,34,Sami,0.0,Ferguson,487117,BHA,Iheanacho,LEI,0.0,0.0,
329,35,Sami,0.0,Olise,443661,CRY,Eriksen,MUN,0.0,0.0,
339,36,Sami,0.0,Lindelöf,184667,MUN,Young,AVL,0.0,0.0,
353,38,Sami,0.0,Malacia,222690,MUN,Tierney,ARS,0.0,0.0,
145,20,Santi,0.0,Gakpo,243298,LIV,Kulusevski,TOT,0.0,0.0,
146,20,Santi,0.0,Sancho,209243,MUN,Willock,NEW,0.0,0.0,0.0
174,22,Santi,0.0,Watkins,178301,AVL,Martial,MUN,0.0,0.0,
175,22,Santi,0.0,Chalobah,180736,CHE,Koulibaly,CHE,0.0,0.0,1.0
218,25,Santi,0.0,Gomez,171287,LIV,Henry,BRE,0.0,0.0,1.0
244,27,Santi,0.0,Cash,199796,AVL,Coleman,EVE,8.0,8.0,3.0
259,28,Santi,0.0,Enzo,448047,CHE,Olise,CRY,2.0,2.0,1.0
