manager,player_name,team,photo,player_id,points,ppg
Ruslan,Struijk,LEE,222694,2,4.0,2.0
Ali,Digne,AVL,101188,2,3.0,1.5
Ruslan,Ward-Prowse,SOU,101178,2,17.0,8.5
Youssef,Castagne,LEI,166477,2,1.0,0.5
Santi,Ward,CRY,55494,2,9.0,4.5
Santi,Cash,AVL,199796,2,8.0,4.0
Sami,Pickford,EVE,111234,2,4.0,2.0
Ali,Koulibaly,CHE,86129,2,3.0,1.5
Ruslan,Konaté,LIV,204716,2,6.0,3.0
Sami,De Cordova-Reid,FUL,96994,2,7.0,3.5
Shrey,Firmino,LIV,92217,2,1.0,0.5
Ali,Saint-Maximin,NEW,170137,2,0.0,0.0
Sami,Willian,FUL,47431,2,3.0,1.5
Ali,Struijk,LEE,222694,2,6.0,3.0
Ali,Tielemans,LEI,166989,2,5.0,2.5
Ali,Vinícius,FUL,245824,2,10.0,5.0
Sami,Sterling,CHE,103955,2,1.0,0.5
Dani,Varane,MUN,90152,2,14.0,7.0
Ali,Mitchell,CRY,244723,2,6.0,3.0
Shrey,Martial,MUN,148225,2,6.0,3.0
Ali,Meslier,LEE,437495,2,9.0,4.5
Ali,Maupay,EVE,115382,2,11.0,5.5
Ruslan,Fabianski,WHU,37096,2,6.0,3.0
Shrey,Kelly,BOU,235530,2,4.0,2.0
Sami,Semedo,WOL,200402,2,4.0,2.0
Ruslan,Isak,NEW,219168,2,9.0,4.5
Santi,Veltman,BHA,111478,2,5.0,2.5
Ruslan,Walker,MCI,58621,2,3.0,1.5
Youssef,Chilwell,CHE,172850,2,3.0,1.5
Santi,Ouattara,BOU,533463,2,2.0,1.0
Youssef,Mendy,CHE,228286,2,4.0,2.0
Ali,Douglas Luiz,AVL,230046,2,4.0,2.0
Youssef,Pinnock,BRE,231065,2,17.0,8.5
Youssef,Podence,WOL,200600,2,2.0,1.0
Sami,Jesus,ARS,205651,2,7.0,3.5
Sami,J.Ayew,CRY,80146,2,6.0,3.0
Santi,Kelly,BOU,235530,2,2.0,1.0
Ali,Podence,WOL,200600,2,9.0,4.5
Sami,Harrison,LEE,221399,2,3.0,1.5
Santi,McNeil,EVE,433154,2,5.0,2.5
Santi,Coleman,EVE,59949,2,3.0,1.5
Ali,Eriksen,MUN,80607,2,2.0,1.0
Youssef,Eriksen,MUN,80607,2,10.0,5.0
Ali,Burn,NEW,78916,2,3.0,1.5
Ali,Robertson,LIV,122798,2,8.0,4.0
Santi,Sabitzer,MUN,101338,2,6.0,3.0
Santi,Senesi,BOU,221466,2,4.0,2.0
Santi,Semedo,WOL,200402,2,7.0,3.5
Santi,Pedro Porro,TOT,441164,2,14.0,7.0
Youssef,Bowen,WHU,178186,1,2.0,2.0
Ali,Aurier,NFO,80226,1,2.0,2.0
Youssef,Jorginho,ARS,85955,1,1.0,1.0
Ali,Navas,NFO,28411,1,1.0,1.0
Yahya,Guaita,CRY,40836,1,3.0,3.0
Ali,Neto,BOU,69752,1,2.0,2.0
Ali,Arrizabalaga,CHE,109745,1,0.0,0.0
Ali,Dunk,BHA,83299,1,8.0,8.0
Ali,Ouattara,BOU,533463,1,2.0,2.0
Ali,Henderson,NFO,172649,1,1.0,1.0
Ali,Doherty,TOT,87835,1,1.0,1.0
Ali,Holding,ARS,156074,1,1.0,1.0
Yahya,Chilwell,CHE,172850,1,1.0,1.0
Ali,Pickford,EVE,111234,1,2.0,2.0
Ali,Elliott,LIV,444884,1,3.0,3.0
Youssef,Antonio,WHU,57531,1,5.0,5.0
Youssef,Ings,WHU,84939,1,1.0,1.0
Ali,Barnes,LEI,201666,1,2.0,2.0
Youssef,Toti,WOL,510362,1,2.0,2.0
Ali,Estupiñán,BHA,204214,1,1.0,1.0
Ali,Kehrer,WHU,201057,1,1.0,1.0
Ali,Garnacho,MUN,493105,1,1.0,1.0
Ali,Kulusevski,TOT,445044,1,2.0,2.0
Ali,Gibbs-White,NFO,222531,1,4.0,4.0
Ali,Buendía,AVL,195546,1,3.0,3.0
Ali,Gordon,NEW,232826,1,2.0,2.0
Ali,Martial,MUN,148225,1,4.0,4.0
Ali,Luis Díaz,LIV,244731,1,1.0,1.0
Ali,Guéhi,CRY,209036,1,1.0,1.0
Ali,Maddison,LEI,172780,1,2.0,2.0
Yahya,Saliba,ARS,462424,1,0.0,0.0
Youssef,Henderson,NFO,172649,1,1.0,1.0
Ali,Malacia,MUN,222690,1,0.0,0.0
