,time,TraceabilityCode,Defect
246,2023-02-09 18:51:14,1010223040174837,Pikos (marks/contamination)
247,2023-02-09 18:51:07,1010223040174828,Pikos (marks/contamination)
248,2023-02-09 18:50:59,1010223040174743,Pikos (marks/contamination)
249,2023-02-09 18:50:52,1010223040174752,Pikos (marks/contamination)
250,2023-02-09 18:50:43,1010223040174810,Pikos (marks/contamination)
251,2023-02-09 18:50:20,1010223040174828,Pikos (marks/contamination)
252,2023-02-09 18:50:07,1010223040174818,Pikos (marks/contamination)
253,2023-02-09 18:49:59,1010223040174752,Pikos (marks/contamination)
254,2023-02-09 18:49:12,1010223040174734,Pikos (marks/contamination)
255,2023-02-09 18:49:04,1010223040174725,Pikos (marks/contamination)
256,2023-02-09 18:48:57,1010223040174715,Pikos (marks/contamination)
257,2023-02-09 18:48:23,1010223040174648,Pikos (marks/contamination)
258,2023-02-09 18:48:15,1010223040174630,Pikos (marks/contamination)
259,2023-02-09 18:48:07,1010223040174612,Pikos (marks/contamination)
260,2023-02-09 18:47:59,1010223040174536,Pikos (marks/contamination)
261,2023-02-09 18:47:52,1010223040174509,Pikos (marks/contamination)
262,2023-02-09 12:02:12,1010223040105950,Deformacja (deformation)
263,2023-02-09 11:36:40,1010223040103501,Deformacja (deformation)
264,2023-02-09 10:35:40,1010123040090250,Deformacja (deformation)
265,2023-02-09 10:35:40,1010123040090250,Deformacja (deformation)
266,2023-02-09 03:33:49,1010123040021719,Odciśnięte miejsce (marks)
267,2023-02-08 20:44:02,1010223039193213,Pofalowanie (waves)
268,2023-02-08 20:43:54,1010223039193206,Pofalowanie (waves)
269,2023-02-08 20:43:47,1010223039193147,Pofalowanie (waves)
270,2023-02-08 20:12:39,1010223039190627,Deformacja (deformation)
271,2023-02-08 20:09:21,1010223039190618,Pikos (marks/contamination)
272,2023-02-08 20:09:14,1010223039190609,Pikos (marks/contamination)
273,2023-02-02 13:56:56,1010123033125522,Błąd materiału (meterial failure)
274,2023-02-02 13:23:27,1010223033121614,Pofalowanie (waves)
275,2023-02-02 13:20:44,1010223033121541,Pofalowanie (waves)
276,2023-02-02 13:20:31,1010223033121534,Pofalowanie (waves)
277,2023-02-02 13:20:19,1010223033121429,Pofalowanie (waves)
278,2023-02-02 13:03:38,1010223033115503,Pofalowanie (waves)
279,2023-02-02 13:03:29,1010223033115456,Pofalowanie (waves)
280,2023-02-02 13:03:22,1010223033115449,Pofalowanie (waves)
281,2023-02-02 11:36:32,1010223033103412,Odciśnięte miejsce (marks)
282,2023-02-02 10:16:04,1010123033091340,Deformacja (deformation)
283,2023-02-02 10:08:58,1010123033090409,Deformacja (deformation)
