time;TraceabilityCode;CushionPumpMaxPower3;time.value
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 15:37:01.374 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 15:37:17.875 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 15:48:22.661 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 15:49:45.779 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 15:56:10.834 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,6;2023-02-22 16:20:23.898 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:20:32.928 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,6;2023-02-22 16:20:42.137 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:20:51.496 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,6;2023-02-22 16:21:10.036 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:21:19.336 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 16:21:47.085 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:21:56.377 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 16:23:38.615 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:23:47.736 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 16:24:10.016 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:24:37.335 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 16:25:13.823 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,6;2023-02-22 16:25:23.023 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:25:32.053 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,6;2023-02-22 16:25:50.292 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:25:59.424 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 16:26:26.773 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:26:54.131 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 16:27:03.252 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:27:12.463 CET
