time;TraceabilityCode;PressForceValueFL;time.value
2023-01-04 15:58:50.782 CET;1010123004145811;27,2;2023-01-04 15:58:55.253 CET
2023-01-04 15:58:58.243 CET;1010123004145819;26,6;2023-01-04 15:59:02.773 CET
2023-01-04 15:59:13.032 CET;1010123004145833;26,9;2023-01-04 15:59:17.542 CET
2023-01-04 15:59:27.901 CET;1010123004145848;27,2;2023-01-04 15:59:32.460 CET
2023-01-04 15:59:35.401 CET;1010123004145856;26,9;2023-01-04 15:59:39.871 CET
2023-01-04 15:59:42.842 CET;1010123004145903;26,6;2023-01-04 15:59:47.331 CET
2023-01-04 15:59:50.220 CET;1010123004145910;26,9;2023-01-04 15:59:54.690 CET
2023-01-04 16:00:05.040 CET;1010123004145925;28;2023-01-04 16:00:09.460 CET
2023-01-04 16:00:12.450 CET;1010123004145933;26,9;2023-01-04 16:00:16.901 CET
2023-01-04 16:00:19.871 CET;1010123004145940;27,2;2023-01-04 16:00:24.371 CET
2023-01-04 16:00:27.270 CET;1010123004145948;26,6;2023-01-04 16:00:31.730 CET
2023-01-04 16:00:34.680 CET;1010123004145955;26,9;2023-01-04 16:00:39.091 CET
2023-01-04 16:00:42.121 CET;1010123004150002;26,1;2023-01-04 16:00:46.611 CET
2023-01-04 16:00:49.510 CET;1010123004150010;26,4;2023-01-04 16:00:53.950 CET
2023-01-04 16:00:57.349 CET;1010123004150025;26,1;2023-01-04 16:01:01.779 CET
2023-01-04 16:01:04.769 CET;1010123004150032;26,6;2023-01-04 16:01:09.299 CET
2023-01-04 16:01:20.130 CET;1010123004150046;26,4;2023-01-04 16:01:24.688 CET
2023-01-04 16:04:53.516 CET;1010123004150122;26,6;2023-01-04 16:04:58.066 CET
2023-01-04 16:06:23.966 CET;1010123004150212;26,4;2023-01-04 16:09:19.691 CET
2023-01-04 16:09:26.171 CET;1010123004150427;26,6;2023-01-04 16:09:30.680 CET
2023-01-04 16:09:35.121 CET;1010123004150450;26,9;2023-01-04 16:09:39.592 CET
2023-01-04 16:09:50.861 CET;1010123004150519;26,6;2023-01-04 16:09:55.411 CET
