time;TraceabilityCode;PressForceValueRL;time.value
2023-01-04 16:00:05.040 CET;1010123004145925;28;2023-01-04 16:00:09.460 CET
2023-01-04 16:00:19.871 CET;1010123004145940;28,5;2023-01-04 16:00:24.371 CET
2023-01-04 16:00:27.270 CET;1010123004145948;27,7;2023-01-04 16:00:31.730 CET
2023-01-04 16:00:34.680 CET;1010123004145955;28,5;2023-01-04 16:00:39.091 CET
2023-01-04 16:00:42.121 CET;1010123004150002;28,8;2023-01-04 16:00:46.611 CET
2023-01-04 16:00:49.510 CET;1010123004150010;28,2;2023-01-04 16:00:53.950 CET
2023-01-04 16:01:04.769 CET;1010123004150032;27,7;2023-01-04 16:01:09.299 CET
2023-01-04 16:01:12.809 CET;1010123004150039;28;2023-01-04 16:01:17.249 CET
2023-01-04 16:01:27.569 CET;1010123004150053;28,2;2023-01-04 16:01:31.969 CET
2023-01-04 16:04:53.516 CET;1010123004150122;27,7;2023-01-04 16:04:58.066 CET
2023-01-04 16:05:01.326 CET;1010123004150136;28;2023-01-04 16:05:05.907 CET
2023-01-04 16:06:16.135 CET;1010123004150157;27,7;2023-01-04 16:06:20.585 CET
2023-01-04 16:06:23.966 CET;1010123004150212;27,2;2023-01-04 16:09:19.691 CET
2023-01-04 16:09:26.171 CET;1010123004150427;27,7;2023-01-04 16:09:30.680 CET
2023-01-04 16:09:35.121 CET;1010123004150450;27,4;2023-01-04 16:09:39.592 CET
2023-01-04 16:09:43.002 CET;1010123004150509;27,7;2023-01-04 16:09:47.500 CET
2023-01-04 16:09:50.861 CET;1010123004150519;27,4;2023-01-04 16:09:55.411 CET
2023-01-04 16:14:55.486 CET;1010123004150917;28;2023-01-04 16:15:00.065 CET
2023-01-04 16:15:39.415 CET;1010123004151458;27,4;2023-01-04 16:15:43.895 CET
2023-01-04 16:15:46.686 CET;1010123004151506;27,7;2023-01-04 16:15:51.154 CET
2023-01-04 16:16:09.015 CET;1010123004151529;28,2;2023-01-04 16:16:13.493 CET
2023-01-04 16:16:23.924 CET;1010123004151543;28;2023-01-04 16:16:28.342 CET
2023-01-04 16:17:01.453 CET;1010123004151621;28,2;2023-01-04 16:17:05.892 CET
2023-01-04 16:17:31.213 CET;1010123004151651;28,8;2023-01-04 16:17:35.743 CET
