,time,TraceabilityCode,PressForceValueRR,time.value
308,2023-01-04 16:28:31.112,1010123004151941,31.4,2023-01-04 16:28:35.512
309,2023-01-04 16:29:26.081,1010123004151948,31.7,2023-01-04 16:29:32.599
310,2023-01-04 16:29:38.230,1010123004151956,32.2,2023-01-04 16:29:42.680
311,2023-01-04 16:30:07.510,1010123004152824,31.7,2023-01-04 16:30:12.051
312,2023-01-04 16:30:14.790,1010123004152930,31.2,2023-01-04 16:30:19.359
313,2023-01-04 16:30:22.240,1010123004152938,30.9,2023-01-04 16:30:26.710
314,2023-01-04 16:30:29.569,1010123004152949,31.2,2023-01-04 16:30:34.039
315,2023-01-04 16:30:36.970,1010123004152957,31.4,2023-01-04 16:30:41.390
316,2023-01-04 16:30:44.349,1010123004153004,31.2,2023-01-04 16:30:48.880
317,2023-01-04 16:30:51.670,1010123004153011,31.4,2023-01-04 16:30:56.138
318,2023-01-04 16:30:59.119,1010123004153019,31.7,2023-01-04 16:31:03.559
319,2023-01-04 16:31:06.430,1010123004153026,31.4,2023-01-04 16:31:10.839
320,2023-01-04 16:31:13.720,1010123004153034,31.7,2023-01-04 16:31:18.168
321,2023-01-04 16:31:21.158,1010123004153041,32.2,2023-01-04 16:31:25.677
