,time,TraceabilityCode,TotalPressForceValue,time.value
281,2023-01-04 16:00:49.510,1010123004150010,28.7,2023-01-04 16:00:53.950
282,2023-01-04 16:01:12.809,1010123004150039,28.8,2023-01-04 16:01:17.249
283,2023-01-04 16:01:20.130,1010123004150046,28.6,2023-01-04 16:01:24.688
284,2023-01-04 16:01:27.569,1010123004150053,28.8,2023-01-04 16:01:31.969
285,2023-01-04 16:05:01.326,1010123004150136,28.7,2023-01-04 16:05:05.907
286,2023-01-04 16:05:08.726,1010123004150143,28.6,2023-01-04 16:05:13.256
287,2023-01-04 16:06:23.966,1010123004150212,28.4,2023-01-04 16:09:19.691
288,2023-01-04 16:09:26.171,1010123004150427,28.5,2023-01-04 16:09:30.680
289,2023-01-04 16:09:43.002,1010123004150509,28.4,2023-01-04 16:09:47.500
290,2023-01-04 16:14:47.677,1010123004150909,28.5,2023-01-04 16:14:52.155
291,2023-01-04 16:14:55.486,1010123004150917,28.4,2023-01-04 16:15:00.065
292,2023-01-04 16:15:10.186,1010123004151147,28.2,2023-01-04 16:15:14.595
293,2023-01-04 16:15:17.496,1010123004151154,28.4,2023-01-04 16:15:21.865
294,2023-01-04 16:15:24.756,1010123004151435,28.5,2023-01-04 16:15:29.246
295,2023-01-04 16:15:32.085,1010123004151449,28.4,2023-01-04 16:15:36.536
296,2023-01-04 16:15:54.214,1010123004151513,28.2,2023-01-04 16:15:58.734
297,2023-01-04 16:16:01.654,1010123004151521,28.6,2023-01-04 16:16:06.154
298,2023-01-04 16:16:09.015,1010123004151529,28.4,2023-01-04 16:16:13.493
299,2023-01-04 16:16:16.474,1010123004151536,28.6,2023-01-04 16:16:20.923
300,2023-01-04 16:16:31.334,1010123004151551,28.4,2023-01-04 16:16:35.882
301,2023-01-04 16:16:38.973,1010123004151559,28.6,2023-01-04 16:16:43.414
302,2023-01-04 16:16:46.334,1010123004151606,28.3,2023-01-04 16:16:50.773
303,2023-01-04 16:16:53.963,1010123004151613,28.4,2023-01-04 16:16:58.533
304,2023-01-04 16:17:01.453,1010123004151621,28.5,2023-01-04 16:17:05.892
305,2023-01-04 16:17:08.934,1010123004151628,28.2,2023-01-04 16:17:13.332
306,2023-01-04 16:17:16.263,1010123004151636,28.6,2023-01-04 16:17:20.743
307,2023-01-04 16:17:31.213,1010123004151651,28.8,2023-01-04 16:17:35.743
308,2023-01-04 16:17:45.763,1010123004151706,28.7,2023-01-04 16:17:50.272
309,2023-01-04 16:17:53.132,1010123004151713,28.9,2023-01-04 16:17:57.673
310,2023-01-04 16:18:00.542,1010123004151721,28.7,2023-01-04 16:18:05.102
311,2023-01-04 16:18:08.122,1010123004151728,28.6,2023-01-04 16:18:12.612
312,2023-01-04 16:18:30.471,1010123004151750,28.8,2023-01-04 16:18:34.930
313,2023-01-04 16:18:37.901,1010123004151757,28.9,2023-01-04 16:18:42.381
314,2023-01-04 16:18:45.211,1010123004151805,28.7,2023-01-04 16:18:49.651
315,2023-01-04 16:19:07.111,1010123004151827,28.6,2023-01-04 16:19:11.581
316,2023-01-04 16:19:14.451,1010123004151835,28.4,2023-01-04 16:19:18.950
317,2023-01-04 16:19:21.821,1010123004151842,28.7,2023-01-04 16:19:26.381
318,2023-01-04 16:19:29.220,1010123004151849,28.4,2023-01-04 16:19:33.651
319,2023-01-04 16:19:36.480,1010123004151857,28.7,2023-01-04 16:19:40.911
320,2023-01-04 16:19:43.921,1010123004151904,28.6,2023-01-04 16:19:48.480
321,2023-01-04 16:27:51.273,1010123004151919,28.5,2023-01-04 16:27:57.973
