,time,TraceabilityCode,PressForceValueFR,time.value
285,2023-01-04 16:33:49.276,1010123004153309,28.2,2023-01-04 16:33:53.825
286,2023-01-04 16:34:17.226,1010123004153345,28.5,2023-01-04 16:34:21.706
287,2023-01-04 16:34:24.835,1010123004153352,28.0,2023-01-04 16:34:29.355
288,2023-01-04 16:35:00.244,1010123004153428,28.5,2023-01-04 16:35:04.694
289,2023-01-04 16:35:07.954,1010123004153435,28.0,2023-01-04 16:35:12.473
290,2023-01-04 16:35:29.515,1010123004153457,28.2,2023-01-04 16:35:33.994
291,2023-01-04 16:35:51.005,1010123004153518,28.0,2023-01-04 16:35:55.433
292,2023-01-04 16:36:12.674,1010123004153540,28.2,2023-01-04 16:36:17.112
293,2023-01-04 16:46:44.604,1010123004154224,28.0,2023-01-04 16:46:49.114
294,2023-01-04 16:47:04.963,1010123004154239,28.2,2023-01-04 16:47:09.441
295,2023-01-04 16:47:12.392,1010123004154246,27.4,2023-01-04 16:47:16.792
296,2023-01-04 16:47:19.763,1010123004154627,28.0,2023-01-04 16:47:24.253
297,2023-01-04 16:47:27.203,1010123004154634,27.7,2023-01-04 16:47:31.673
298,2023-01-04 16:47:34.532,1010123004154651,27.4,2023-01-04 16:47:38.933
299,2023-01-04 16:47:41.782,1010123004154702,28.0,2023-01-04 16:47:46.242
300,2023-01-04 16:47:49.243,1010123004154710,28.2,2023-01-04 16:47:53.681
301,2023-01-04 16:47:56.542,1010123004154717,28.0,2023-01-04 16:48:01.111
302,2023-01-04 16:48:04.101,1010123004154725,27.7,2023-01-04 16:48:08.631
303,2023-01-04 16:48:26.332,1010123004154747,27.4,2023-01-04 16:48:30.802
304,2023-01-04 16:48:33.812,1010123004154754,28.0,2023-01-04 16:48:38.322
305,2023-01-04 16:48:48.522,1010123004154809,28.2,2023-01-04 16:48:53.030
306,2023-01-04 16:48:55.970,1010123004154816,27.7,2023-01-04 16:49:00.430
307,2023-01-04 16:49:03.361,1010123004154824,28.0,2023-01-04 16:49:07.821
308,2023-01-04 16:49:18.121,1010123004154839,27.7,2023-01-04 16:49:22.559
309,2023-01-04 16:49:25.500,1010123004154846,28.0,2023-01-04 16:49:29.990
