,,POS,MP,GS,A,CS,GC,OG,PS,PM,YC,RC,S,B,BPS,I,C,T,II,
Substitutes,"Bamford
LEEFWD",FWD,14,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,0.4,Youssef
Substitutes,"Jorginho
ARSMID",MID,66,0,0,0,2,0,0,0,0,0,0,0,14,16.2,2.4,0,1.9,Youssef
Substitutes,"Davies
TOTDEF",DEF,90,0,0,0,1,0,0,0,1,0,0,0,12,10.6,25.6,4,4,Youssef
,,,,,,,,,,,,,,,,,,,,
Starters,"Pope
NEWGKP",GKP,90,0,0,0,2,0,0,0,0,0,4,0,21,34.2,0,0,3.4,Santiago
Starters,"Alexander-Arnold
LIVDEF",DEF,70,0,0,0,1,0,0,0,0,0,0,0,12,5,16.3,14,3.5,Santiago
Starters,"Azpilicueta
CHEDEF",DEF,66,0,0,0,2,0,0,0,0,0,0,0,12,16.2,13.8,0,3,Santiago
Starters,"Dunk
BHADEF",DEF,90,0,0,0,2,1,0,0,0,0,0,0,4,10.2,1.1,0,1.1,Santiago
Starters,"Varane
MUNDEF",DEF,90,0,0,1,0,0,0,0,0,0,0,1,26,13.8,0.7,0,1.5,Santiago
Starters,"Casemiro
MUNMID",MID,31,0,0,0,0,0,0,0,0,0,0,0,9,11.4,1.3,0,1.3,Santiago
Starters,"Xhaka
ARSMID",MID,90,0,0,0,1,0,0,0,0,0,0,0,14,12.6,25,8,4.6,Santiago
Starters,"Rodri
MCIMID",MID,54,0,0,0,0,0,0,0,0,0,0,0,7,5.2,25.8,4,3.5,Santiago
Starters,"Neves
WOLMID",MID,90,0,0,1,0,0,0,0,1,0,0,0,12,24.8,5.3,8,3.8,Santiago
