,time,TraceabilityCode,Defect
393,2023-01-16 12:08:00,1010123016110147,cracks
394,2023-01-16 12:07:49,1010123016110138,cracks
395,2023-01-16 12:06:13,1010123016105119,cracks
396,2023-01-16 11:46:35,1010123016103619,marks/contamination
397,2023-01-16 11:46:10,1010123016101555,waves
398,2023-01-16 11:45:50,1010123016102047,waves
399,2023-01-16 10:46:44,1010123016094317,meterial failure
400,2023-01-16 10:46:35,1010123016094309,meterial failure
401,2023-01-16 10:46:27,1010123016094300,meterial failure
402,2023-01-16 10:46:17,1010123016094252,meterial failure
403,2023-01-16 10:46:07,1010123016094241,meterial failure
404,2023-01-16 10:46:03,1010123016094317,meterial failure
405,2023-01-16 10:45:59,1010123016094233,meterial failure
406,2023-01-16 10:31:46,1010223016092858,meterial failure
407,2023-01-16 10:31:37,1010123016092829,meterial failure
408,2023-01-16 10:31:27,1010123016092820,meterial failure
409,2023-01-16 10:31:19,1010123016092811,meterial failure
410,2023-01-16 10:21:28,1010123016085831,thinning
411,2023-01-16 09:44:30,1010123016084221,meterial failure
412,2023-01-16 09:44:19,1010123016084214,meterial failure
413,2023-01-16 09:44:04,1010123016084207,meterial failure
414,2023-01-16 08:53:38,1010123016075118,meterial failure
415,2023-01-16 08:53:27,1010123016075132,meterial failure
416,2023-01-16 06:39:56,1010123016053507,deformation
417,2023-01-12 09:42:19,1010123012083406,marks
418,2023-01-12 09:42:11,1010123012083357,marks
419,2023-01-12 08:44:39,1010223012073936,thinning
420,2023-01-12 08:44:34,1010223012073927,thinning
421,2023-01-12 08:44:28,1010223012073918,thinning
422,2023-01-11 23:05:43,1010223011220301,deformation
423,2023-01-11 21:58:33,1010123011205405,deformation
424,2023-01-11 20:01:56,1010223011185540,cracks
425,2023-01-11 20:01:40,1010223011185550,cracks
426,2023-01-11 20:01:30,1010223011185608,cracks
427,2023-01-11 20:01:20,1010223011185628,cracks
428,2023-01-11 16:09:09,1010123011150504,deformation
429,2023-01-11 16:01:36,1010123011135710,deformation
430,2023-01-11 16:01:25,1012723011145624,deformation
431,2023-01-11 16:01:11,1010123011135702,deformation
432,2023-01-11 15:46:31,1010123011135537,deformation
433,2023-01-11 15:46:10,1010123011135528,deformation
434,2023-01-11 15:45:45,1010123011135519,deformation
435,2023-01-11 15:45:25,1012723011144348,deformation
436,2023-01-11 15:07:18,1010123011135422,deformation
437,2023-01-11 15:07:11,1010123011135438,deformation
438,2023-01-11 15:05:53,1010123011135438,deformation
439,2023-01-11 15:05:42,1010123011135430,deformation
440,2023-01-11 15:05:38,1010123011135422,deformation
441,2023-01-11 15:05:10,1010123011135438,deformation
442,2023-01-11 07:41:49,1010223011063822,thinning
443,2023-01-11 07:41:42,1010223011063813,thinning
444,2023-01-11 07:41:32,1010223011063804,thinning
445,2023-01-11 07:41:26,1010223011063756,thinning
446,2023-01-11 07:41:11,1010223011063738,thinning
447,2023-01-11 07:40:52,1010223011063711,thinning
448,2023-01-11 07:40:35,1010223011063711,thinning
449,2023-01-11 07:40:22,1010223011063653,thinning
450,2023-01-11 07:40:12,1010223011063636,thinning
451,2023-01-11 07:40:01,1010223011063627,thinning
452,2023-01-11 07:39:53,1010223011063618,thinning
453,2023-01-11 07:18:39,1010123011061606,thinning
454,2023-01-11 07:18:11,1010123011061558,thinning
455,2023-01-11 07:18:04,1010123011061550,thinning
456,2023-01-11 07:17:58,1010123011061542,thinning
457,2023-01-11 07:17:49,1010123011061527,thinning
458,2023-01-11 07:17:42,1010123011061409,thinning
459,2023-01-11 07:17:35,1010123011061358,thinning
460,2023-01-11 07:17:20,1010123011061318,cracks
461,2023-01-11 07:17:04,1010123011060817,cracks
462,2023-01-11 07:16:56,1010123011060808,cracks
463,2023-01-11 07:16:48,1010123011060750,cracks
464,2023-01-11 07:13:32,1010123011060547,cracks
465,2023-01-11 07:13:28,1010123011060538,cracks
466,2023-01-11 07:13:23,1010123011060529,cracks
467,2023-01-11 07:13:17,1010123011060521,cracks
468,2023-01-11 07:13:11,1010123011060512,cracks
469,2023-01-11 07:13:05,1010123011060503,cracks
470,2023-01-11 07:12:59,1010123011060454,cracks
471,2023-01-11 04:11:45,1010123011030630,deformation
472,2023-01-10 13:06:45,1010223010115917,marks
473,2023-01-10 13:06:37,1010223010115910,marks
474,2023-01-10 13:06:30,1010223010115854,marks
475,2023-01-10 12:57:29,1010223010115446,deformation
476,2023-01-10 12:57:29,1010223010115446,deformation
477,2023-01-10 12:47:01,1010223010114253,deformation
478,2023-01-10 12:41:44,1010223010113808,deformation
479,2023-01-10 07:47:10,1010223010064517,marks
480,2023-01-10 07:46:58,1010223010064441,marks
481,2023-01-10 07:46:45,1010223010064317,marks
482,2023-01-10 07:46:34,1010223010064423,marks
483,2023-01-10 07:46:24,1010223010063759,marks
484,2023-01-10 02:56:21,1010123010015403,marks
485,2023-01-10 02:36:07,1010123010013336,deformation
486,2023-01-10 02:13:09,1010223010010335,deformation
487,2023-01-10 02:13:09,1010223010010335,deformation
488,2023-01-09 20:32:07,1010123009193016,meterial failure
489,2023-01-09 15:24:45,1010123009142312,meterial failure
490,2023-01-09 13:29:28,1010223009122602,deformation
491,2023-01-09 13:29:19,1010223009122540,deformation
492,2023-01-09 13:29:02,1010223009122530,deformation
493,2023-01-09 13:28:54,1010223009122410,deformation
494,2023-01-09 13:28:45,1010223009122347,deformation
495,2023-01-09 10:22:28,1010123009081447,waves
496,2023-01-05 12:08:39,1010123005103836,deformation
497,2023-01-05 12:08:39,1010123005103836,deformation
498,2023-01-05 12:04:50,1010123005103623,deformation
499,2023-01-05 12:04:39,1010123005103638,deformation
500,2023-01-05 09:57:04,1010223005085544,deformation
