,time,TraceabilityCode,Cylinder8MaxParalelismErrorInBDC,time.value
200,2023-01-04 18:04:59.596,1010223004170444,1.8,2023-01-04 18:04:59.707
201,2023-01-04 18:05:07.086,1010223004170451,1.7,2023-01-04 18:05:07.226
202,2023-01-04 18:06:21.315,1010223004170606,1.8,2023-01-04 18:06:21.546
203,2023-01-04 18:06:36.046,1010223004170620,1.7,2023-01-04 18:06:36.255
204,2023-01-04 18:06:58.404,1010223004170643,1.8,2023-01-04 18:06:58.563
205,2023-01-04 18:07:28.025,1010223004170712,1.7,2023-01-04 18:07:28.255
206,2023-01-04 18:07:35.414,1010223004170720,1.8,2023-01-04 18:07:35.605
207,2023-01-04 18:07:42.894,1010223004170727,1.7,2023-01-04 18:07:42.974
208,2023-01-04 18:08:12.624,1010223004170757,1.8,2023-01-04 18:08:12.812
209,2023-01-04 18:09:04.933,1010223004170849,1.7,2023-01-04 18:09:04.971
210,2023-01-04 18:09:19.923,1010223004170904,1.8,2023-01-04 18:09:20.092
211,2023-01-04 18:09:27.352,1010223004170912,1.7,2023-01-04 18:09:27.542
212,2023-01-04 18:09:42.253,1010223004170927,1.8,2023-01-04 18:09:42.433
213,2023-01-04 18:09:49.763,1010223004170934,1.7,2023-01-04 18:09:49.862
214,2023-01-04 18:10:04.621,1010223004170949,1.8,2023-01-04 18:10:04.811
215,2023-01-04 18:10:11.911,1010223004170956,1.7,2023-01-04 18:10:12.171
216,2023-01-04 18:10:56.841,1010223004171041,1.8,2023-01-04 18:10:56.891
217,2023-01-04 18:11:34.141,1010223004171118,1.8,2023-01-04 18:11:34.341
218,2023-01-04 18:11:56.331,1010223004171141,1.7,2023-01-04 18:11:56.510
219,2023-01-04 18:12:03.740,1010223004171148,1.8,2023-01-04 18:12:03.861
220,2023-01-04 18:12:18.950,1010223004171203,1.8,2023-01-04 18:12:19.151
221,2023-01-04 18:12:48.630,1010223004171233,1.7,2023-01-04 18:12:48.740
222,2023-01-04 18:13:25.900,1010223004171310,1.7,2023-01-04 18:13:26.178
223,2023-01-04 18:13:48.109,1010223004171333,1.8,2023-01-04 18:13:48.339
224,2023-01-04 18:14:10.668,1010223004171355,1.7,2023-01-04 18:14:10.749
225,2023-01-04 18:14:25.447,1010223004171410,1.8,2023-01-04 18:14:25.707
226,2023-01-04 18:14:40.348,1010223004171425,1.7,2023-01-04 18:14:40.357
227,2023-01-04 18:14:47.717,1010223004171432,1.8,2023-01-04 18:14:47.937
228,2023-01-04 18:17:47.744,1010223004171732,1.7,2023-01-04 18:17:47.953
229,2023-01-04 18:17:55.255,1010223004171739,1.8,2023-01-04 18:17:55.382
230,2023-01-04 18:20:02.982,1010223004171947,1.8,2023-01-04 18:20:03.151
231,2023-01-04 18:20:18.042,1010223004172002,1.7,2023-01-04 18:20:18.200
232,2023-01-04 18:20:33.052,1010223004172017,1.8,2023-01-04 18:20:33.302
233,2023-01-04 18:21:03.061,1010223004172047,1.7,2023-01-04 18:21:03.220
234,2023-01-04 18:21:10.430,1010223004172055,1.8,2023-01-04 18:21:10.581
235,2023-01-04 18:21:17.871,1010223004172102,1.7,2023-01-04 18:21:18.039
236,2023-01-04 18:21:55.480,1010223004172140,1.7,2023-01-04 18:21:55.559
237,2023-01-04 18:22:03.119,1010223004172147,1.8,2023-01-04 18:22:03.160
238,2023-01-04 18:22:17.700,1010223004172202,1.7,2023-01-04 18:22:17.960
239,2023-01-04 18:23:48.167,1010223004172333,1.8,2023-01-04 18:23:48.437
240,2023-01-04 18:25:19.056,1010223004172503,1.7,2023-01-04 18:25:19.226
241,2023-01-04 18:25:34.096,1010223004172518,1.7,2023-01-04 18:25:34.367
242,2023-01-04 18:25:49.276,1010223004172534,1.7,2023-01-04 18:25:49.486
243,2023-01-04 18:26:04.645,1010223004172549,1.8,2023-01-04 18:26:04.756
244,2023-01-04 18:26:19.786,1010223004172604,1.7,2023-01-04 18:26:19.966
245,2023-01-04 18:26:34.986,1010223004172619,1.7,2023-01-04 18:26:35.065
246,2023-01-04 18:26:42.506,1010223004172627,1.8,2023-01-04 18:26:42.595
247,2023-01-04 18:29:28.882,1010223004172913,1.7,2023-01-04 18:29:28.911
248,2023-01-04 18:29:36.471,1010223004172921,1.8,2023-01-04 18:29:36.512
249,2023-01-04 18:29:51.642,1010223004172936,1.8,2023-01-04 18:29:51.792
250,2023-01-04 18:30:06.802,1010223004172951,1.8,2023-01-04 18:30:06.923
251,2023-01-04 18:30:21.872,1010223004173006,1.7,2023-01-04 18:30:21.953
252,2023-01-04 18:30:37.191,1010223004173021,1.8,2023-01-04 18:30:37.311
253,2023-01-04 18:31:22.430,1010223004173107,1.7,2023-01-04 18:31:22.591
254,2023-01-04 18:31:52.740,1010223004173137,1.8,2023-01-04 18:31:53.009
255,2023-01-04 18:32:07.920,1010223004173152,1.8,2023-01-04 18:32:08.049
256,2023-01-04 18:32:45.710,1010223004173230,1.7,2023-01-04 18:32:45.720
257,2023-01-04 18:34:09.207,1010223004173354,1.8,2023-01-04 18:34:09.316
258,2023-01-04 18:34:24.398,1010223004173409,1.8,2023-01-04 18:34:24.437
259,2023-01-04 18:34:39.496,1010223004173424,1.8,2023-01-04 18:34:39.637
260,2023-01-04 18:35:40.385,1010223004173525,1.9,2023-01-04 18:35:40.515
261,2023-01-04 18:37:19.035,1010223004173704,1.9,2023-01-04 18:37:19.065
262,2023-01-04 18:37:26.523,1010223004173711,1.8,2023-01-04 18:37:26.594
263,2023-01-04 18:42:31.809,1010223004174216,1.9,2023-01-04 18:42:31.890
264,2023-01-04 18:42:39.329,1010223004174224,1.8,2023-01-04 18:42:39.329
265,2023-01-04 18:44:02.997,1010223004174347,1.8,2023-01-04 18:44:03.086
266,2023-01-04 18:47:30.803,1010223004174708,1.9,2023-01-04 18:47:30.842
267,2023-01-04 18:47:38.374,1010223004174716,1.8,2023-01-04 18:47:38.463
268,2023-01-04 18:47:53.043,1010223004174731,1.9,2023-01-04 18:47:53.253
269,2023-01-04 18:48:07.733,1010223004174747,1.8,2023-01-04 18:48:07.894
270,2023-01-04 18:48:52.753,1010223004174833,1.9,2023-01-04 18:48:52.851
271,2023-01-04 18:49:00.142,1010223004174840,1.8,2023-01-04 18:49:00.292
272,2023-01-04 18:49:07.612,1010223004174848,1.9,2023-01-04 18:49:07.721
273,2023-01-04 18:49:15.141,1010223004174856,1.8,2023-01-04 18:49:15.252
274,2023-01-04 18:50:21.671,1010223004175004,1.9,2023-01-04 18:50:21.891
275,2023-01-04 18:50:29.170,1010223004175012,1.8,2023-01-04 18:50:29.329
276,2023-01-04 18:53:39.888,1010223004175323,1.9,2023-01-04 18:53:40.066
277,2023-01-04 19:05:02.786,1010223004180447,1.9,2023-01-04 19:05:02.786
278,2023-01-04 19:05:26.065,1010223004180511,1.8,2023-01-04 19:05:33.665
279,2023-01-04 19:09:10.302,1010223004180848,1.9,2023-01-04 19:09:10.621
280,2023-01-04 19:11:40.049,1010223004181117,1.9,2023-01-04 19:11:40.298
281,2023-01-04 19:11:47.499,1010223004181125,1.8,2023-01-04 19:11:47.667
282,2023-01-04 19:15:45.984,1010223004181530,1.9,2023-01-04 19:15:45.994
283,2023-01-04 19:25:22.375,1010223004182507,1.9,2023-01-04 19:25:22.483
284,2023-01-04 19:33:14.608,1010223004183259,1.8,2023-01-04 19:33:14.667
285,2023-01-04 19:40:51.141,1010223004183640,1.9,2023-01-04 19:40:58.839
286,2023-01-04 19:41:15.131,1010223004183703,1.8,2023-01-04 19:41:15.369
287,2023-01-04 19:48:45.322,1010223004184822,1.9,2023-01-04 19:48:45.532
288,2023-01-04 19:49:00.351,1010223004184839,1.8,2023-01-04 19:49:00.502
289,2023-01-04 19:53:11.467,1010123004185253,1.9,2023-01-04 19:53:11.618
290,2023-01-04 19:53:18.858,1010123004185300,1.8,2023-01-04 19:53:19.066
291,2023-01-04 20:48:24.242,1010123004194802,1.7,2023-01-04 20:48:24.381
292,2023-01-04 20:48:31.710,1010123004194809,1.8,2023-01-04 20:48:31.980
293,2023-01-04 21:11:48.767,1010123004201126,1.7,2023-01-04 21:11:48.947
294,2023-01-04 21:11:56.138,1010123004201134,1.8,2023-01-04 21:11:56.398
295,2023-01-04 21:15:46.592,1010123004201525,1.7,2023-01-04 21:15:46.832
296,2023-01-04 21:15:54.072,1010123004201532,1.8,2023-01-04 21:15:54.223
297,2023-01-04 21:16:01.592,1010123004201539,1.7,2023-01-04 21:16:01.683
298,2023-01-04 21:16:09.003,1010123004201547,1.8,2023-01-04 21:16:09.283
299,2023-01-04 21:17:45.092,1010123004201723,1.7,2023-01-04 21:17:45.282
300,2023-01-04 21:17:52.721,1010123004201730,1.8,2023-01-04 21:17:52.842
301,2023-01-04 21:18:37.081,1010123004201815,1.7,2023-01-04 21:18:37.359
302,2023-01-04 21:18:44.371,1010123004201822,1.8,2023-01-04 21:18:44.640
303,2023-01-04 21:20:42.969,1010123004202021,1.7,2023-01-04 21:20:43.207
304,2023-01-04 21:20:50.428,1010123004202029,1.8,2023-01-04 21:20:50.558
305,2023-01-04 21:22:48.645,1010123004202227,1.7,2023-01-04 21:22:48.894
306,2023-01-04 21:22:55.946,1010123004202235,1.8,2023-01-04 21:22:56.246
307,2023-01-04 21:25:09.203,1010123004202454,1.8,2023-01-04 21:25:09.252
308,2023-01-04 21:27:24.441,1010123004202658,1.7,2023-01-04 21:27:24.641
309,2023-01-04 21:27:31.832,1010123004202705,1.8,2023-01-04 21:27:32.012
310,2023-01-04 21:27:46.690,1010123004202726,1.7,2023-01-04 21:27:46.799
311,2023-01-04 21:27:54.059,1010123004202733,1.8,2023-01-04 21:27:54.250
312,2023-01-04 21:28:01.530,1010123004202740,1.7,2023-01-04 21:28:01.759
313,2023-01-04 21:28:08.930,1010123004202748,1.8,2023-01-04 21:28:09.119
314,2023-01-04 21:35:53.173,1010123004203123,1.7,2023-01-04 21:36:00.763
315,2023-01-04 21:39:29.969,1010123004203909,1.7,2023-01-04 21:39:30.209
316,2023-01-04 21:39:37.469,1010123004203916,1.8,2023-01-04 21:39:37.598
317,2023-01-04 21:40:06.977,1010123004203946,1.7,2023-01-04 21:40:07.128
318,2023-01-04 21:40:14.528,1010123004203953,1.8,2023-01-04 21:40:14.578
319,2023-01-04 21:44:18.594,1010123004204403,1.7,2023-01-04 21:44:18.642
320,2023-01-04 21:48:08.460,1010123004204743,1.8,2023-01-04 21:48:08.658
