,time,TraceabilityCode,CushionWaterTemperature,time.value
223,2023-01-04 16:18:05.003,1010123004151743,31.2,2023-01-04 16:18:05.213
224,2023-01-04 16:28:00.882,1010123004151941,32.0,2023-01-04 16:28:08.572
225,2023-01-04 16:28:09.173,1010123004151948,32.1,2023-01-04 16:28:16.742
226,2023-01-04 16:28:34.282,1010123004152748,32.3,2023-01-04 16:28:41.941
227,2023-01-04 16:29:33.891,1010123004152804,32.6,2023-01-04 16:29:41.500
228,2023-01-04 16:29:49.520,1010123004152824,32.5,2023-01-04 16:29:49.710
229,2023-01-04 16:29:56.801,1010123004152930,32.6,2023-01-04 16:29:57.059
230,2023-01-04 16:30:26.539,1010123004153004,32.5,2023-01-04 16:30:26.819
231,2023-01-04 16:30:33.900,1010123004153011,32.6,2023-01-04 16:30:34.180
232,2023-01-04 16:31:55.049,1010123004153133,32.7,2023-01-04 16:31:55.058
233,2023-01-04 16:32:17.128,1010123004153155,32.8,2023-01-04 16:32:17.388
234,2023-01-04 16:32:24.477,1010123004153202,32.9,2023-01-04 16:32:24.737
235,2023-01-04 16:32:31.737,1010123004153210,33.0,2023-01-04 16:32:32.017
236,2023-01-04 16:32:39.217,1010123004153217,33.1,2023-01-04 16:32:39.298
237,2023-01-04 16:32:46.747,1010123004153224,33.2,2023-01-04 16:32:46.818
238,2023-01-04 16:32:54.357,1010123004153232,33.0,2023-01-04 16:32:54.427
239,2023-01-04 16:33:16.346,1010123004153254,32.9,2023-01-04 16:33:16.575
240,2023-01-04 16:33:30.957,1010123004153309,32.8,2023-01-04 16:33:31.135
241,2023-01-04 16:34:07.585,1010123004153352,32.5,2023-01-04 16:34:07.825
242,2023-01-04 16:34:29.145,1010123004153414,32.3,2023-01-04 16:34:29.355
243,2023-01-04 16:34:50.625,1010123004153435,32.1,2023-01-04 16:34:50.875
244,2023-01-04 16:35:12.305,1010123004153457,31.9,2023-01-04 16:35:12.555
245,2023-01-04 16:35:33.875,1010123004153518,31.7,2023-01-04 16:35:34.075
246,2023-01-04 16:46:47.694,1010123004154239,32.1,2023-01-04 16:46:48.072
247,2023-01-04 16:47:24.663,1010123004154702,32.0,2023-01-04 16:47:24.822
248,2023-01-04 16:47:32.023,1010123004154710,31.9,2023-01-04 16:47:32.183
249,2023-01-04 16:48:01.762,1010123004154739,31.8,2023-01-04 16:48:01.871
250,2023-01-04 16:48:16.562,1010123004154754,31.7,2023-01-04 16:48:16.750
251,2023-01-04 16:48:46.141,1010123004154824,31.6,2023-01-04 16:48:46.332
252,2023-01-04 16:49:30.519,1010123004154908,31.5,2023-01-04 16:49:30.670
253,2023-01-04 16:51:21.569,1010123004155059,31.6,2023-01-04 16:51:21.789
254,2023-01-04 16:51:29.107,1010123004155107,31.5,2023-01-04 16:51:29.157
255,2023-01-04 16:52:13.558,1010123004155151,31.6,2023-01-04 16:52:13.637
256,2023-01-04 16:53:28.585,1010123004155311,31.7,2023-01-04 16:53:28.756
257,2023-01-04 16:54:20.184,1010123004155402,31.8,2023-01-04 16:54:20.273
258,2023-01-04 16:54:49.765,1010123004155431,31.9,2023-01-04 16:54:49.954
259,2023-01-04 16:55:26.733,1010123004155507,32.0,2023-01-04 16:55:26.923
260,2023-01-04 16:56:40.701,1010123004155619,32.1,2023-01-04 16:56:40.911
261,2023-01-04 17:20:22.703,1010123004155648,31.8,2023-01-04 17:20:22.933
262,2023-01-04 17:20:29.993,1010123004161948,31.7,2023-01-04 17:20:30.233
263,2023-01-04 17:20:44.862,1010123004162026,31.8,2023-01-04 17:20:45.032
264,2023-01-04 17:20:52.413,1010123004162033,31.7,2023-01-04 17:20:52.552
265,2023-01-04 17:22:23.740,1010123004162207,31.5,2023-01-04 17:22:23.910
266,2023-01-04 17:24:03.459,1010123004162348,31.6,2023-01-04 17:24:03.588
267,2023-01-04 17:24:10.769,1010123004162355,31.5,2023-01-04 17:24:10.959
268,2023-01-04 17:24:48.388,1010123004162431,31.6,2023-01-04 17:24:48.637
269,2023-01-04 17:25:03.348,1010123004162445,31.5,2023-01-04 17:25:03.517
270,2023-01-04 17:25:10.788,1010123004162452,31.6,2023-01-04 17:25:10.947
271,2023-01-04 17:25:18.217,1010123004162500,31.5,2023-01-04 17:25:18.316
272,2023-01-04 17:25:25.487,1010123004162507,31.6,2023-01-04 17:25:25.757
273,2023-01-04 17:25:33.118,1010123004162514,31.5,2023-01-04 17:25:33.197
274,2023-01-04 17:25:48.118,1010123004162528,31.4,2023-01-04 17:25:48.226
275,2023-01-04 17:26:02.927,1010123004162543,31.5,2023-01-04 17:26:03.115
276,2023-01-04 17:26:10.316,1010123004162550,31.4,2023-01-04 17:26:10.476
277,2023-01-04 17:28:00.855,1010123004162740,31.5,2023-01-04 17:28:01.125
278,2023-01-04 17:28:08.135,1010123004162747,31.4,2023-01-04 17:28:08.394
279,2023-01-04 17:28:44.835,1010123004162824,31.5,2023-01-04 17:28:45.035
280,2023-01-04 17:28:52.174,1010123004162831,31.4,2023-01-04 17:28:52.384
281,2023-01-04 17:29:14.355,1010123004162853,31.5,2023-01-04 17:29:14.483
282,2023-01-04 17:29:43.963,1010123004162923,31.4,2023-01-04 17:29:44.164
283,2023-01-04 17:29:58.834,1010123004162938,31.5,2023-01-04 17:29:58.953
284,2023-01-04 17:30:06.194,1010123004162945,31.4,2023-01-04 17:30:06.392
285,2023-01-04 17:30:20.963,1010123004163000,31.5,2023-01-04 17:30:21.112
286,2023-01-04 17:30:28.392,1010123004163007,31.4,2023-01-04 17:30:28.552
287,2023-01-04 17:30:43.213,1010123004163022,31.3,2023-01-04 17:30:43.352
288,2023-01-04 17:31:12.792,1010123004163051,31.4,2023-01-04 17:31:12.963
289,2023-01-04 17:31:20.072,1010123004163059,31.3,2023-01-04 17:31:20.322
290,2023-01-04 17:31:27.512,1010123004163106,31.4,2023-01-04 17:31:27.681
291,2023-01-04 17:31:35.052,1010123004163113,31.3,2023-01-04 17:31:35.201
292,2023-01-04 17:31:42.411,1010123004163121,31.4,2023-01-04 17:31:42.551
293,2023-01-04 17:31:49.732,1010123004163128,31.3,2023-01-04 17:31:49.992
294,2023-01-04 17:31:57.220,1010123004163136,31.4,2023-01-04 17:31:57.359
295,2023-01-04 17:32:04.460,1010123004163143,31.3,2023-01-04 17:32:04.710
296,2023-01-04 17:32:11.861,1010123004163150,31.4,2023-01-04 17:32:12.069
297,2023-01-04 17:32:19.250,1010123004163158,31.3,2023-01-04 17:32:19.440
298,2023-01-04 17:32:56.039,1010123004163235,31.4,2023-01-04 17:32:56.190
299,2023-01-04 17:33:03.400,1010123004163242,31.5,2023-01-04 17:33:03.578
300,2023-01-04 17:33:18.059,1010123004163257,31.6,2023-01-04 17:33:18.319
301,2023-01-04 17:33:32.799,1010123004163312,31.7,2023-01-04 17:33:33.039
302,2023-01-04 17:33:40.220,1010123004163319,31.8,2023-01-04 17:33:40.440
303,2023-01-04 17:33:47.630,1010123004163327,31.9,2023-01-04 17:33:47.829
304,2023-01-04 17:33:54.999,1010123004163334,32.0,2023-01-04 17:33:55.108
305,2023-01-04 17:34:02.239,1010123004163341,32.1,2023-01-04 17:34:02.479
306,2023-01-04 17:34:09.499,1010123004163349,32.3,2023-01-04 17:34:09.759
307,2023-01-04 17:34:31.457,1010123004163411,32.4,2023-01-04 17:34:31.757
308,2023-01-04 17:34:38.969,1010123004163418,32.5,2023-01-04 17:34:39.108
309,2023-01-04 17:34:46.259,1010123004163425,32.6,2023-01-04 17:34:46.467
310,2023-01-04 17:35:10.157,1010123004163455,32.8,2023-01-04 17:35:10.246
311,2023-01-04 17:35:32.006,1010123004163516,32.9,2023-01-04 17:35:32.036
312,2023-01-04 17:36:00.796,1010123004163545,33.1,2023-01-04 17:36:01.026
313,2023-01-04 17:36:44.375,1010123004163629,33.2,2023-01-04 17:36:44.634
314,2023-01-04 17:37:13.325,1010123004163658,33.4,2023-01-04 17:37:13.505
315,2023-01-04 17:37:35.085,1010123004163720,33.3,2023-01-04 17:37:35.334
316,2023-01-04 17:38:33.053,1010123004163818,33.5,2023-01-04 17:38:33.114
