time;MaxForceFR
2023-02-09 03:50:05.989 CET;1
2023-02-09 03:50:16.078 CET;0,9
2023-02-09 03:50:26.148 CET;1,1
2023-02-09 03:50:36.217 CET;0,9
2023-02-09 03:50:56.378 CET;0,6
2023-02-09 03:51:06.467 CET;1,3
2023-02-09 03:51:16.469 CET;1
2023-02-09 03:51:26.709 CET;1,2
2023-02-09 03:51:36.789 CET;1,3
2023-02-09 03:51:46.868 CET;1,5
2023-02-09 03:51:56.947 CET;1,4
2023-02-09 03:52:17.028 CET;1,2
2023-02-09 04:01:37.618 CET;0,9
2023-02-09 04:03:46.315 CET;1,3
2023-02-09 04:08:12.334 CET;0,9
2023-02-09 04:08:22.404 CET;1,5
2023-02-09 04:08:32.483 CET;1
2023-02-09 04:08:42.642 CET;1,1
2023-02-09 04:09:02.803 CET;1,2
2023-02-09 04:09:12.881 CET;1,1
2023-02-09 04:09:22.961 CET;1,3
2023-02-09 04:09:33.042 CET;1,1
2023-02-09 04:09:43.211 CET;1,3
2023-02-09 04:09:53.272 CET;1,4
2023-02-09 04:10:03.371 CET;1,5
2023-02-09 04:10:13.441 CET;1,4
2023-02-09 04:10:23.681 CET;1,2
2023-02-09 04:10:43.911 CET;1,4
2023-02-09 04:18:58.903 CET;1
2023-02-09 04:19:11.542 CET;0,9
2023-02-09 04:19:31.773 CET;1,4
2023-02-09 04:19:42.092 CET;1,3
2023-02-09 04:19:52.163 CET;1,1
2023-02-09 04:20:12.493 CET;0,9
2023-02-09 04:20:22.653 CET;1,1
2023-02-09 04:20:32.882 CET;1,4
2023-02-09 04:20:42.961 CET;1,1
2023-02-09 04:20:53.221 CET;1,3
2023-02-09 04:25:56.118 CET;1
2023-02-09 04:26:06.259 CET;1,4
2023-02-09 04:26:18.256 CET;0,9
2023-02-09 04:26:28.336 CET;1,4
2023-02-09 04:26:38.417 CET;1,3
2023-02-09 04:26:58.736 CET;1,1
2023-02-09 04:27:08.897 CET;1,2
2023-02-09 04:27:18.887 CET;0,9
2023-02-09 04:27:39.217 CET;1,1
2023-02-09 04:27:49.296 CET;1
2023-02-09 04:27:59.367 CET;0,9
2023-02-09 04:28:09.457 CET;1,2
2023-02-09 04:28:19.687 CET;1
2023-02-09 04:28:40.105 CET;1,5
2023-02-09 04:28:50.256 CET;1,4
2023-02-09 04:29:00.515 CET;1,5
2023-02-09 04:29:10.655 CET;1,3
2023-02-09 04:32:09.723 CET;1,5
2023-02-09 04:32:19.862 CET;1
2023-02-09 04:32:30.023 CET;1,4
2023-02-09 04:32:40.180 CET;1,1
2023-02-09 04:32:50.331 CET;1
2023-02-09 04:33:10.901 CET;1,1
2023-02-09 04:33:21.061 CET;0,9
2023-02-09 04:33:51.621 CET;1
2023-02-09 04:34:01.789 CET;0,9
2023-02-09 04:34:22.109 CET;1
2023-02-09 04:34:32.180 CET;1,1
2023-02-09 04:34:52.589 CET;0,9
2023-02-09 04:35:02.829 CET;1,2
2023-02-09 04:35:12.977 CET;1,3
2023-02-09 04:35:23.138 CET;1
2023-02-09 04:35:33.457 CET;0,9
2023-02-09 04:35:43.618 CET;1
2023-02-09 04:35:53.707 CET;1,3
2023-02-09 04:36:03.938 CET;1
2023-02-09 04:36:44.996 CET;0,9
2023-02-09 04:36:55.227 CET;1,2
2023-02-09 04:37:05.387 CET;0,9
2023-02-09 04:37:35.855 CET;1,2
2023-02-09 04:38:06.186 CET;1,3
2023-02-09 04:38:16.436 CET;1,1
2023-02-09 04:38:26.506 CET;1,5
2023-02-09 04:38:36.585 CET;1,2
2023-02-09 04:38:46.823 CET;1,3
2023-02-09 04:38:56.993 CET;1,2
2023-02-09 04:39:07.144 CET;1,4
2023-02-09 04:39:17.224 CET;1,3
2023-02-09 04:39:27.305 CET;1
2023-02-09 04:39:37.384 CET;1,3
2023-02-09 04:39:47.473 CET;0,9
2023-02-09 04:39:57.552 CET;1,1
2023-02-09 04:40:07.782 CET;0,9
2023-02-09 04:40:17.864 CET;1
2023-02-09 04:40:28.023 CET;1,1
2023-02-09 04:40:38.101 CET;1,2
2023-02-09 04:40:48.181 CET;1,1
2023-02-09 04:42:30.960 CET;1
