time;PressForceValueRL
2023-01-02 13:27:17.190 CET;24
2023-01-02 13:27:26.150 CET;23,7
2023-01-02 13:27:44.150 CET;24
2023-01-02 13:27:53.019 CET;24,2
2023-01-02 13:28:02.230 CET;24
2023-01-02 13:31:25.875 CET;23,4
2023-01-02 13:33:04.073 CET;23,7
2023-01-02 13:33:18.874 CET;23,4
2023-01-02 13:33:44.785 CET;23,2
2023-01-02 13:34:38.303 CET;23,4
2023-01-02 13:35:05.263 CET;23,7
2023-01-02 13:35:14.233 CET;23,4
2023-01-02 13:36:17.102 CET;23,2
2023-01-02 13:36:25.992 CET;23,7
2023-01-02 13:36:34.950 CET;23,4
2023-01-02 13:36:44.071 CET;23,7
2023-01-02 13:36:52.950 CET;23,2
2023-01-02 13:37:01.821 CET;23,4
2023-01-02 13:37:50.019 CET;23,2
2023-01-02 13:37:58.391 CET;23,4
2023-01-02 13:38:33.188 CET;23,2
2023-01-02 13:38:42.150 CET;23,4
2023-01-02 13:39:17.908 CET;23,7
2023-01-02 13:39:26.878 CET;23,4
2023-01-02 13:39:53.836 CET;23,7
2023-01-02 13:40:02.627 CET;23,4
2023-01-02 13:40:11.756 CET;23,7
2023-01-02 13:40:20.717 CET;23,4
2023-01-02 13:41:14.397 CET;23,7
2023-01-02 13:41:41.367 CET;23,4
2023-01-02 13:41:50.316 CET;23,7
2023-01-02 13:42:17.115 CET;23,4
2023-01-02 13:42:43.994 CET;23,7
2023-01-02 13:43:02.005 CET;23,4
2023-01-02 13:43:19.845 CET;23,2
2023-01-02 13:43:28.882 CET;23,4
2023-01-02 13:43:55.832 CET;23,7
2023-01-02 13:44:13.743 CET;23,4
2023-01-02 13:44:22.792 CET;23,7
2023-01-02 13:44:31.842 CET;23,4
2023-01-02 13:44:40.941 CET;23,7
2023-01-02 13:44:49.992 CET;23,4
2023-01-02 13:44:59.032 CET;23,7
2023-01-02 13:45:07.921 CET;23,4
2023-01-02 13:45:17.022 CET;23,2
2023-01-02 13:45:25.901 CET;23,4
2023-01-02 13:45:44.082 CET;23,2
2023-01-02 13:45:52.950 CET;23,4
2023-01-02 13:46:11.200 CET;23,2
2023-01-02 13:46:29.200 CET;23,4
2023-01-02 13:46:38.329 CET;23,2
2023-01-02 13:46:47.190 CET;23,4
2023-01-02 13:47:05.289 CET;23,2
2023-01-02 13:47:23.450 CET;23,7
2023-01-02 13:47:32.319 CET;23,2
2023-01-02 13:47:41.349 CET;23,4
2023-01-02 13:47:50.319 CET;23,2
2023-01-02 13:47:59.368 CET;23,4
2023-01-02 13:48:17.198 CET;23,2
2023-01-02 13:48:35.279 CET;23,4
2023-01-02 13:48:44.158 CET;23,2
2023-01-02 13:49:01.997 CET;22,9
2023-01-02 13:49:10.967 CET;23,4
2023-01-02 13:49:19.917 CET;23,2
2023-01-02 13:49:28.877 CET;23,4
2023-01-02 13:49:46.887 CET;23,2
2023-01-02 13:50:04.726 CET;23,4
2023-01-02 13:50:13.686 CET;23,7
2023-01-02 13:50:22.555 CET;23,4
2023-01-02 13:51:46.325 CET;24,2
2023-01-02 13:52:04.154 CET;24
2023-01-02 13:52:22.003 CET;24,2
2023-01-02 13:52:39.523 CET;24
2023-01-02 13:54:00.242 CET;24,2
2023-01-02 13:54:09.201 CET;24
2023-01-02 13:54:18.072 CET;24,2
2023-01-02 13:54:27.111 CET;24
2023-01-02 13:54:54.099 CET;23,7
2023-01-02 13:55:02.970 CET;24
2023-01-02 13:55:11.910 CET;23,7
2023-01-02 13:55:47.930 CET;24,2
2023-01-02 13:55:56.720 CET;24
2023-01-02 13:56:32.490 CET;24,2
2023-01-02 13:56:41.279 CET;24
2023-01-02 13:57:43.937 CET;23,7
2023-01-02 13:57:52.957 CET;24
2023-01-02 13:58:02.167 CET;23,4
2023-01-02 13:58:11.038 CET;23,7
2023-01-02 13:58:38.016 CET;24
2023-01-02 13:59:50.075 CET;23,7
2023-01-02 13:59:58.974 CET;24
2023-01-02 14:00:07.855 CET;23,7
2023-01-02 14:00:26.005 CET;24
2023-01-02 14:00:44.085 CET;23,7
2023-01-02 14:01:11.053 CET;23,4
2023-01-02 14:01:29.132 CET;23,7
2023-01-02 14:01:47.122 CET;24
2023-01-02 14:02:04.973 CET;23,7
2023-01-02 14:02:58.961 CET;23,4
2023-01-02 14:03:08.023 CET;23,7
2023-01-02 14:03:34.881 CET;23,4
2023-01-02 14:03:43.782 CET;23,7
2023-01-02 14:04:10.891 CET;23,4
2023-01-02 14:04:19.851 CET;23,7
2023-01-02 14:04:37.861 CET;23,4
2023-01-02 14:04:46.812 CET;23,7
2023-01-02 14:06:15.460 CET;23,4
2023-01-02 14:06:24.009 CET;24
2023-01-02 14:06:32.650 CET;23,4
2023-01-02 14:06:41.519 CET;23,7
2023-01-02 14:07:17.378 CET;23,4
2023-01-02 14:07:26.328 CET;23,2
2023-01-02 14:07:44.239 CET;23,4
2023-01-02 14:08:02.167 CET;23,7
2023-01-02 14:08:11.128 CET;23,4
2023-01-02 14:08:29.147 CET;23,7
2023-01-02 14:09:31.776 CET;23,4
2023-01-02 14:09:49.526 CET;23,7
2023-01-02 14:10:16.345 CET;23,4
2023-01-02 14:10:34.253 CET;23,2
2023-01-02 14:10:52.253 CET;23,4
2023-01-02 14:11:10.095 CET;23,7
2023-01-02 14:11:19.065 CET;23,4
2023-01-02 14:12:12.642 CET;23,2
2023-01-02 14:12:21.542 CET;23,4
2023-01-02 14:12:48.653 CET;23,2
2023-01-02 14:12:57.773 CET;23,4
2023-01-02 14:13:24.812 CET;23,2
2023-01-02 14:13:33.851 CET;23,4
2023-01-02 14:13:51.861 CET;23,2
2023-01-02 14:14:09.700 CET;23,7
2023-01-02 14:14:18.740 CET;23,2
2023-01-02 14:14:27.700 CET;23,4
