time;Cylinder4MaxParalelismErrorInBDC
2023-01-02 17:51:10.384 CET;-0,2
2023-01-02 17:51:19.263 CET;-0,3
2023-01-02 17:51:28.303 CET;-0,2
2023-01-02 17:51:37.352 CET;-0,3
2023-01-02 17:52:40.302 CET;-0,2
2023-01-02 17:52:49.263 CET;-0,3
2023-01-02 17:52:58.312 CET;-0,2
2023-01-02 17:53:16.221 CET;-0,3
2023-01-02 17:53:25.262 CET;-0,2
2023-01-02 17:53:43.111 CET;-0,3
2023-01-02 17:55:28.959 CET;-0,2
2023-01-02 17:55:47.197 CET;-0,3
2023-01-02 17:56:59.427 CET;-0,2
2023-01-02 17:57:08.467 CET;-0,3
2023-01-02 17:57:17.506 CET;-0,2
2023-01-02 17:57:35.667 CET;-0,3
2023-01-02 17:57:44.696 CET;-0,2
2023-01-02 17:57:53.665 CET;-0,3
2023-01-02 17:58:47.986 CET;-0,2
2023-01-02 17:58:57.035 CET;-0,3
2023-01-02 18:00:45.273 CET;-0,2
2023-01-02 18:00:54.273 CET;-0,3
2023-01-02 18:01:44.194 CET;-0,2
2023-01-02 18:02:02.073 CET;-0,3
2023-01-02 18:03:31.911 CET;-0,2
2023-01-02 18:03:40.871 CET;-0,3
2023-01-02 18:04:52.869 CET;-0,2
2023-01-02 18:05:01.910 CET;-0,3
2023-01-02 18:05:19.849 CET;-0,2
2023-01-02 18:05:28.969 CET;-0,3
2023-01-02 18:05:37.910 CET;-0,2
2023-01-02 18:05:46.890 CET;-0,3
2023-01-02 18:06:04.798 CET;-0,2
2023-01-02 18:06:13.757 CET;-0,3
2023-01-02 18:09:02.714 CET;-0,2
2023-01-02 18:09:11.755 CET;-0,3
2023-01-02 18:09:38.724 CET;-0,2
2023-01-02 18:09:47.684 CET;-0,3
2023-01-02 18:10:05.755 CET;-0,2
2023-01-02 18:10:14.724 CET;-0,3
2023-01-02 18:11:35.513 CET;-0,2
2023-01-02 18:11:44.392 CET;-0,3
2023-01-02 18:11:53.352 CET;-0,2
2023-01-02 18:12:02.233 CET;-0,3
2023-01-02 18:12:29.282 CET;-0,2
2023-01-02 18:12:38.232 CET;-0,3
2023-01-02 18:13:23.121 CET;-0,2
2023-01-02 18:13:32.081 CET;-0,3
2023-01-02 18:13:58.970 CET;-0,2
2023-01-02 18:14:07.920 CET;-0,3
2023-01-02 18:16:50.556 CET;-0,2
2023-01-02 18:16:59.447 CET;-0,3
2023-01-02 18:17:09.867 CET;-0,2
2023-01-02 18:17:19.368 CET;-0,3
2023-01-02 18:20:28.005 CET;-0,2
2023-01-02 18:20:37.013 CET;-0,3
2023-01-02 18:21:58.012 CET;-0,2
2023-01-02 18:22:16.221 CET;-0,3
2023-01-02 18:23:46.240 CET;-0,2
2023-01-02 18:23:55.289 CET;-0,3
2023-01-02 18:25:16.157 CET;-0,2
2023-01-02 18:25:25.219 CET;-0,3
2023-01-02 18:26:10.086 CET;-0,2
2023-01-02 18:26:28.167 CET;-0,3
2023-01-02 18:27:04.246 CET;-0,2
2023-01-02 18:27:13.246 CET;-0,3
2023-01-02 18:27:49.137 CET;-0,2
2023-01-02 18:27:58.167 CET;-0,3
2023-01-02 18:30:04.013 CET;-0,2
2023-01-02 18:30:30.894 CET;-0,3
2023-01-02 18:33:14.980 CET;-0,2
2023-01-02 18:33:51.220 CET;-0,3
2023-01-02 18:34:00.341 CET;-0,2
2023-01-02 18:34:09.299 CET;-0,3
2023-01-02 18:34:18.250 CET;-0,2
2023-01-02 18:34:27.260 CET;-0,3
2023-01-02 18:37:22.838 CET;-0,2
2023-01-02 18:37:40.966 CET;-0,3
2023-01-02 18:37:58.885 CET;-0,2
2023-01-02 18:38:07.855 CET;-0,3
2023-01-02 18:40:40.573 CET;-0,2
2023-01-02 18:40:58.563 CET;-0,3
2023-01-02 18:41:07.611 CET;-0,2
2023-01-02 18:41:16.572 CET;-0,3
2023-01-02 18:41:25.532 CET;-0,2
2023-01-02 18:41:34.490 CET;-0,3
2023-01-02 18:41:43.371 CET;-0,2
2023-01-02 18:41:52.460 CET;-0,3
2023-01-02 18:42:01.381 CET;-0,2
2023-01-02 18:42:28.260 CET;-0,3
2023-01-02 18:45:01.048 CET;-0,2
2023-01-02 18:45:10.098 CET;-0,3
2023-01-02 18:45:28.019 CET;-0,2
2023-01-02 18:45:36.977 CET;-0,3
2023-01-02 18:45:45.948 CET;-0,2
2023-01-02 18:45:54.898 CET;-0,3
2023-01-02 18:49:22.345 CET;-0,2
2023-01-02 18:49:31.436 CET;-0,3
2023-01-02 18:49:40.503 CET;-0,2
2023-01-02 18:49:49.384 CET;-0,3
2023-01-02 18:50:34.184 CET;-0,2
2023-01-02 18:50:43.302 CET;-0,3
2023-01-02 18:51:10.512 CET;-0,2
2023-01-02 18:51:28.502 CET;-0,3
2023-01-02 18:52:40.480 CET;-0,2
2023-01-02 18:52:58.431 CET;-0,3
2023-01-02 18:53:07.460 CET;-0,2
2023-01-02 18:53:25.470 CET;-0,3
2023-01-02 18:53:34.430 CET;-0,2
2023-01-02 18:54:46.358 CET;-0,3
2023-01-02 18:55:22.348 CET;-0,2
2023-01-02 18:55:31.318 CET;-0,3
2023-01-02 18:55:40.267 CET;-0,2
2023-01-02 18:55:49.318 CET;-0,3
2023-01-02 18:56:14.056 CET;-0,2
2023-01-02 18:56:32.108 CET;-0,3
2023-01-02 18:57:44.196 CET;-0,2
2023-01-02 18:58:11.065 CET;-0,3
2023-01-02 18:58:20.035 CET;-0,2
2023-01-02 18:58:28.904 CET;-0,3
2023-01-02 18:59:13.874 CET;-0,2
2023-01-02 18:59:22.904 CET;-0,3
2023-01-02 19:01:01.871 CET;-0,2
2023-01-02 19:01:19.711 CET;-0,3
2023-01-02 19:01:28.671 CET;-0,2
2023-01-02 19:01:37.711 CET;-0,3
2023-01-02 19:01:46.752 CET;-0,2
2023-01-02 19:01:55.782 CET;-0,3
2023-01-02 19:02:04.842 CET;-0,2
2023-01-02 19:02:22.752 CET;-0,3
2023-01-02 19:02:31.710 CET;-0,2
2023-01-02 19:02:49.720 CET;-0,3
2023-01-02 19:04:01.561 CET;-0,2
2023-01-02 19:04:19.469 CET;-0,3
2023-01-02 19:04:28.438 CET;-0,2
2023-01-02 19:04:46.438 CET;-0,3
2023-01-02 19:05:40.279 CET;-0,2
2023-01-02 19:06:43.236 CET;-0,3
2023-01-02 19:07:46.206 CET;-0,2
2023-01-02 19:07:55.236 CET;-0,3
2023-01-02 19:08:04.246 CET;-0,2
2023-01-02 19:08:13.315 CET;-0,3
2023-01-02 19:08:31.315 CET;-0,2
2023-01-02 19:08:49.233 CET;-0,3
2023-01-02 19:09:07.244 CET;-0,2
2023-01-02 19:09:16.365 CET;-0,3
2023-01-02 19:09:34.283 CET;-0,2
2023-01-02 19:10:45.242 CET;-0,3
2023-01-02 19:11:39.242 CET;-0,2
2023-01-02 19:11:48.270 CET;-0,3
2023-01-02 19:13:27.599 CET;-0,2
2023-01-02 19:13:36.598 CET;-0,3
2023-01-02 19:13:54.690 CET;-0,2
2023-01-02 19:14:03.890 CET;-0,3
2023-01-02 19:14:13.088 CET;-0,2
2023-01-02 19:14:22.038 CET;-0,3
2023-01-02 19:14:31.007 CET;-0,2
2023-01-02 19:14:49.009 CET;-0,3
2023-01-02 19:16:19.247 CET;-0,2
2023-01-02 19:16:28.288 CET;-0,3
2023-01-02 19:16:55.486 CET;-0,2
2023-01-02 19:17:13.736 CET;-0,3
2023-01-02 19:17:40.936 CET;-0,2
2023-01-02 19:17:49.956 CET;-0,3
2023-01-02 19:18:08.125 CET;-0,2
2023-01-02 19:18:44.206 CET;-0,3
2023-01-02 19:19:20.285 CET;-0,2
2023-01-02 19:19:29.404 CET;-0,3
2023-01-02 19:19:56.444 CET;-0,2
2023-01-02 19:20:05.404 CET;-0,3
2023-01-02 19:21:08.855 CET;-0,2
2023-01-02 19:21:26.854 CET;-0,3
2023-01-02 19:21:35.813 CET;-0,2
2023-01-02 19:22:37.115 CET;-0,3
2023-01-02 19:23:03.974 CET;-0,2
2023-01-02 19:23:12.934 CET;-0,3
2023-01-02 19:25:14.385 CET;-0,2
2023-01-02 19:25:23.176 CET;-0,3
2023-01-02 19:25:41.186 CET;-0,2
2023-01-02 19:25:50.305 CET;-0,3
2023-01-02 19:26:08.305 CET;-0,2
2023-01-02 19:26:26.296 CET;-0,3
2023-01-02 19:26:35.426 CET;-0,2
2023-01-02 19:26:53.344 CET;-0,3
2023-01-02 19:27:02.295 CET;-0,2
2023-01-02 19:27:11.335 CET;-0,3
2023-01-02 19:27:38.375 CET;-0,2
2023-01-02 19:27:56.374 CET;-0,3
2023-01-02 19:28:14.293 CET;-0,2
2023-01-02 19:28:23.253 CET;-0,3
2023-01-02 19:28:32.213 CET;-0,2
2023-01-02 19:28:41.184 CET;-0,3
