time;PressForceValueFL
2023-01-02 15:11:32.556 CET;16
2023-01-02 15:11:50.476 CET;16,2
2023-01-02 15:12:08.394 CET;16
2023-01-02 15:12:26.486 CET;15,7
2023-01-02 15:12:35.444 CET;16
2023-01-02 15:18:12.578 CET;15,7
2023-01-02 15:18:22.158 CET;16
2023-01-02 15:18:40.648 CET;15,7
2023-01-02 15:18:58.799 CET;16
2023-01-02 15:19:16.878 CET;15,7
2023-01-02 15:19:35.038 CET;16
2023-01-02 15:20:02.086 CET;15,7
2023-01-02 15:20:29.207 CET;16
2023-01-02 15:20:47.197 CET;15,7
2023-01-02 15:21:05.446 CET;15,4
2023-01-02 15:21:14.325 CET;16
2023-01-02 15:21:23.676 CET;15,7
2023-01-02 15:21:41.526 CET;15,4
2023-01-02 15:21:50.476 CET;16
2023-01-02 15:21:59.526 CET;15,7
2023-01-02 15:22:08.405 CET;16
2023-01-02 15:22:17.375 CET;15,7
2023-01-02 15:22:44.474 CET;16
2023-01-02 15:23:02.815 CET;15,7
2023-01-02 15:23:29.854 CET;16
2023-01-02 15:23:39.125 CET;15,7
2023-01-02 15:23:57.053 CET;15,4
2023-01-02 15:24:06.003 CET;15,7
2023-01-02 15:24:33.124 CET;15,4
2023-01-02 15:24:42.414 CET;15,7
2023-01-02 15:25:09.282 CET;16
2023-01-02 15:25:18.483 CET;15,7
2023-01-02 15:25:27.542 CET;16
2023-01-02 15:25:54.411 CET;15,7
2023-01-02 15:26:12.571 CET;16,2
2023-01-02 15:26:21.371 CET;15,7
2023-01-02 15:27:15.849 CET;15,4
2023-01-02 15:27:42.799 CET;15,7
2023-01-02 15:27:52.009 CET;15,4
