time;ClutchBrakeWaterTemperature
2023-01-02 16:18:31.256 CET;28,9
2023-01-02 16:19:34.184 CET;28,8
2023-01-02 16:20:05.786 CET;28,7
2023-01-02 16:20:48.654 CET;28,6
2023-01-02 16:21:24.543 CET;28,5
2023-01-02 16:21:51.664 CET;28,4
2023-01-02 16:22:54.792 CET;28,3
2023-01-02 16:23:39.832 CET;28,4
2023-01-02 16:23:48.700 CET;28,3
2023-01-02 16:24:06.710 CET;28,4
2023-01-02 16:24:15.591 CET;28,3
2023-01-02 16:24:42.630 CET;28,2
2023-01-02 16:25:27.678 CET;28,1
2023-01-02 16:27:43.266 CET;28,5
2023-01-02 16:29:03.915 CET;28,6
2023-01-02 16:29:48.786 CET;28,7
2023-01-02 16:30:26.875 CET;28,8
2023-01-02 16:30:36.255 CET;28,9
2023-01-02 16:31:12.325 CET;29
2023-01-02 16:31:21.365 CET;29,1
2023-01-02 16:32:06.473 CET;29,2
2023-01-02 16:32:24.332 CET;29,3
2023-01-02 16:33:09.523 CET;29,4
2023-01-02 16:33:45.671 CET;29,5
2023-01-02 16:34:03.762 CET;29,6
2023-01-02 16:34:48.960 CET;29,7
2023-01-02 16:34:58.000 CET;29,8
2023-01-02 16:35:07.049 CET;29,7
2023-01-02 16:35:20.529 CET;29,8
2023-01-02 16:35:54.569 CET;29,9
2023-01-02 16:36:48.408 CET;30
2023-01-02 16:37:15.276 CET;30,1
2023-01-02 16:37:42.237 CET;30,2
2023-01-02 16:37:51.358 CET;30,1
2023-01-02 16:38:00.315 CET;30,2
2023-01-02 16:38:27.286 CET;30,3
2023-01-02 16:38:36.395 CET;30,4
2023-01-02 16:38:45.367 CET;30,3
2023-01-02 16:39:43.713 CET;30,4
2023-01-02 16:39:52.654 CET;30,5
2023-01-02 16:40:10.575 CET;30,6
2023-01-02 16:41:08.533 CET;30,7
2023-01-02 16:42:46.621 CET;30,8
2023-01-02 16:49:54.434 CET;30,1
2023-01-02 16:50:03.622 CET;30,2
2023-01-02 16:50:12.573 CET;30
2023-01-02 16:50:21.703 CET;29,9
2023-01-02 16:50:39.523 CET;29,8
2023-01-02 16:50:48.483 CET;29,9
2023-01-02 16:50:57.444 CET;29,8
2023-01-02 16:51:06.414 CET;29,7
2023-01-02 16:51:15.372 CET;29,6
2023-01-02 16:51:33.371 CET;29,5
2023-01-02 16:51:51.371 CET;29,4
