time;MaxOffCenteredLoadLR
2023-01-02 22:19:34.858 CET;19,4
2023-01-02 22:19:44.049 CET;19,2
2023-01-02 22:19:53.178 CET;18
2023-01-02 22:20:02.378 CET;19,9
2023-01-02 22:20:11.569 CET;18,9
2023-01-02 22:20:20.697 CET;18,6
2023-01-02 22:20:29.798 CET;17,8
2023-01-02 22:20:39.088 CET;18,6
2023-01-02 22:20:48.296 CET;18,4
2023-01-02 22:20:57.578 CET;18,6
2023-01-02 22:21:06.778 CET;18
2023-01-02 22:21:15.977 CET;17,7
2023-01-02 22:21:25.257 CET;18,6
2023-01-02 22:21:34.538 CET;18,5
2023-01-02 22:21:43.736 CET;18,2
2023-01-02 22:21:53.016 CET;18,4
2023-01-02 22:22:02.226 CET;18,1
2023-01-02 22:22:11.426 CET;17,7
2023-01-02 22:22:20.607 CET;18,5
2023-01-02 22:22:29.806 CET;19,1
2023-01-02 22:22:39.026 CET;18,2
2023-01-02 22:22:48.145 CET;18,6
2023-01-02 22:22:57.415 CET;19,7
2023-01-02 22:23:06.615 CET;18,7
2023-01-02 22:23:15.895 CET;19
2023-01-02 22:23:25.016 CET;18,9
2023-01-02 22:23:34.204 CET;18,4
2023-01-02 22:23:43.404 CET;18,5
2023-01-02 22:23:52.543 CET;18,7
2023-01-02 22:24:01.815 CET;18,6
2023-01-02 22:24:11.013 CET;18,7
2023-01-02 22:24:20.312 CET;18
2023-01-02 22:24:29.493 CET;17,8
2023-01-02 22:24:38.783 CET;19
2023-01-02 22:24:47.993 CET;17,9
2023-01-02 22:24:57.273 CET;19,2
2023-01-02 22:25:06.463 CET;17,7
2023-01-02 22:25:15.671 CET;18,6
2023-01-02 22:25:24.953 CET;17,8
2023-01-02 22:25:34.141 CET;19,1
2023-01-02 22:25:43.423 CET;18,3
2023-01-02 22:25:52.542 CET;19,1
2023-01-02 22:26:01.742 CET;18,9
2023-01-02 22:26:10.931 CET;18,3
2023-01-02 22:26:20.131 CET;18,5
2023-01-02 22:26:38.631 CET;17,5
2023-01-02 22:26:47.831 CET;19,1
2023-01-02 22:26:57.111 CET;18,1
2023-01-02 22:27:15.520 CET;18,5
2023-01-02 22:27:33.901 CET;17,3
2023-01-02 22:27:43.099 CET;18,1
2023-01-02 22:27:52.309 CET;18,5
2023-01-02 22:28:01.430 CET;17,7
2023-01-02 22:28:10.710 CET;18,9
2023-01-02 22:28:19.908 CET;18,6
2023-01-02 22:28:29.190 CET;18,9
2023-01-02 22:28:38.390 CET;18,8
2023-01-02 22:28:47.588 CET;19,4
2023-01-02 22:28:56.858 CET;18,7
2023-01-02 22:29:06.058 CET;17,8
2023-01-02 22:29:15.257 CET;18,6
2023-01-02 22:29:24.457 CET;18,9
2023-01-02 22:29:33.737 CET;18,7
2023-01-02 22:29:42.878 CET;18,1
2023-01-02 22:29:52.157 CET;18,9
2023-01-02 22:30:01.357 CET;17,5
2023-01-02 22:30:10.548 CET;17,8
2023-01-02 22:30:19.828 CET;17,9
2023-01-02 22:30:28.947 CET;16,7
2023-01-02 22:30:38.227 CET;19,3
2023-01-02 22:30:47.506 CET;18,4
2023-01-02 22:30:56.796 CET;19,5
2023-01-02 22:31:06.055 CET;18,5
2023-01-02 22:31:39.726 CET;18,4
2023-01-02 22:31:49.694 CET;17,7
2023-01-02 22:32:30.864 CET;18
2023-01-02 22:32:40.144 CET;19,4
2023-01-02 22:32:49.345 CET;19,6
2023-01-02 22:32:58.625 CET;19,8
2023-01-02 22:33:17.032 CET;19,6
2023-01-02 22:33:26.233 CET;18
2023-01-02 22:33:35.352 CET;17,4
2023-01-02 22:33:44.622 CET;19
2023-01-02 22:33:53.832 CET;17,5
2023-01-02 22:34:03.104 CET;19
2023-01-02 22:34:12.302 CET;18,3
2023-01-02 22:34:21.433 CET;17,1
2023-01-02 22:34:30.713 CET;19,1
2023-01-02 22:34:39.913 CET;18,4
2023-01-02 22:34:49.112 CET;19,3
2023-01-02 22:34:58.382 CET;18,8
2023-01-02 22:35:07.673 CET;19,2
2023-01-02 22:35:16.963 CET;18,5
2023-01-02 22:35:26.163 CET;18,3
2023-01-02 22:35:35.342 CET;19
2023-01-02 22:35:44.552 CET;19,1
2023-01-02 22:35:53.742 CET;18,2
2023-01-02 22:36:02.941 CET;18,8
2023-01-02 22:36:12.221 CET;19,6
2023-01-02 22:36:21.430 CET;18,8
2023-01-02 22:36:30.561 CET;17,6
2023-01-02 22:36:39.760 CET;18,2
2023-01-02 22:36:48.951 CET;17,6
2023-01-02 22:36:58.151 CET;17,5
2023-01-02 22:37:07.351 CET;18,6
2023-01-02 22:37:16.480 CET;17,4
2023-01-02 22:37:25.599 CET;17,8
2023-01-02 22:37:34.801 CET;18,6
2023-01-02 22:37:44.061 CET;19,1
2023-01-02 22:37:53.280 CET;19,6
2023-01-02 22:38:02.480 CET;18,7
2023-01-02 22:38:11.599 CET;18,1
2023-01-02 22:38:20.801 CET;20,5
2023-01-02 22:38:30.071 CET;18,3
2023-01-02 22:38:39.361 CET;20,1
2023-01-02 22:38:48.549 CET;18,4
2023-01-02 22:38:57.589 CET;18,7
2023-01-02 22:39:06.720 CET;17,5
2023-01-02 22:39:16.000 CET;19,4
2023-01-02 22:39:25.210 CET;18,3
2023-01-02 22:39:34.490 CET;18,1
2023-01-02 22:39:43.769 CET;18,2
2023-01-02 22:39:52.888 CET;16,6
2023-01-02 22:40:02.078 CET;17,9
2023-01-02 22:40:11.368 CET;18
2023-01-02 22:40:20.558 CET;18,4
2023-01-02 22:40:29.757 CET;18,8
2023-01-02 22:40:39.038 CET;18,3
2023-01-02 22:40:48.306 CET;19,7
2023-01-02 22:40:57.357 CET;18,6
2023-01-02 22:41:06.637 CET;18,7
2023-01-02 22:41:15.756 CET;19,5
2023-01-02 22:41:25.026 CET;18,8
2023-01-02 22:41:34.318 CET;18,1
2023-01-02 22:41:43.595 CET;18,8
2023-01-02 22:41:52.796 CET;18,2
2023-01-02 22:42:02.006 CET;19,4
2023-01-02 22:42:11.186 CET;17,7
2023-01-02 22:42:20.484 CET;19,5
2023-01-02 22:42:29.684 CET;17,5
2023-01-02 22:44:28.302 CET;18,7
2023-01-02 22:44:42.302 CET;18,6
2023-01-02 22:44:52.263 CET;18,7
2023-01-02 22:46:47.401 CET;19,5
2023-01-02 22:46:56.562 CET;18,4
2023-01-02 22:51:11.928 CET;18,7
2023-01-02 22:51:22.346 CET;18,8
2023-01-02 22:52:00.387 CET;19,4
2023-01-02 22:52:10.246 CET;18,9
2023-01-02 22:52:20.076 CET;19,2
2023-01-02 22:52:47.125 CET;20
2023-01-02 22:53:56.042 CET;19,4
2023-01-02 22:56:23.611 CET;19
2023-01-02 22:56:54.430 CET;19,4
2023-01-02 22:57:04.240 CET;19,1
2023-01-02 22:57:13.759 CET;18,8
2023-01-02 22:57:23.440 CET;18,9
2023-01-02 22:57:32.959 CET;19,7
2023-01-02 22:57:42.398 CET;19
2023-01-02 22:58:39.188 CET;18,2
2023-01-02 22:58:49.138 CET;19
2023-01-02 22:59:15.927 CET;20,6
2023-01-02 22:59:25.118 CET;19,3
2023-01-02 22:59:34.227 CET;18
2023-01-02 22:59:43.437 CET;19,4
2023-01-02 22:59:52.717 CET;19,9
2023-01-02 23:00:01.917 CET;20
2023-01-02 23:00:11.127 CET;20,3
2023-01-02 23:00:20.246 CET;19,6
2023-01-02 23:00:29.516 CET;20,2
2023-01-02 23:00:38.717 CET;20
2023-01-02 23:00:47.815 CET;18,6
2023-01-02 23:00:57.115 CET;19,9
2023-01-02 23:01:06.395 CET;20,1
2023-01-02 23:01:15.676 CET;19,7
2023-01-02 23:01:34.177 CET;18,7
2023-01-02 23:01:43.446 CET;18,5
2023-01-02 23:01:52.716 CET;19,4
2023-01-02 23:02:01.855 CET;18,6
2023-01-02 23:02:11.055 CET;18,7
2023-01-02 23:02:20.335 CET;19
