time;TotalPressForceValue
2023-01-02 14:05:19.490 CET;20,1
2023-01-02 14:06:28.019 CET;20
2023-01-02 14:06:46.539 CET;20,2
2023-01-02 14:06:55.417 CET;20
2023-01-02 14:07:13.257 CET;20,1
2023-01-02 14:07:22.207 CET;19,9
2023-01-02 14:07:40.049 CET;20
2023-01-02 14:07:57.967 CET;20,1
2023-01-02 14:08:07.017 CET;19,9
2023-01-02 14:08:16.046 CET;20,1
2023-01-02 14:08:25.098 CET;19,9
2023-01-02 14:08:33.887 CET;20
2023-01-02 14:08:42.937 CET;20,2
2023-01-02 14:08:51.898 CET;20
2023-01-02 14:09:00.926 CET;20,2
2023-01-02 14:09:18.706 CET;20
2023-01-02 14:09:27.665 CET;20,1
2023-01-02 14:09:36.526 CET;19,9
2023-01-02 14:09:45.496 CET;20
2023-01-02 14:09:54.375 CET;19,9
2023-01-02 14:10:03.496 CET;20
2023-01-02 14:10:30.523 CET;20,1
2023-01-02 14:10:39.414 CET;20
2023-01-02 14:11:06.454 CET;20,2
