time;StrokeCounter
2023-02-22 14:17:10.351 CET;26306327
2023-02-22 14:17:24.391 CET;26306328
2023-02-22 14:17:38.601 CET;26306329
2023-02-22 14:17:52.592 CET;26306330
2023-02-22 14:18:06.601 CET;26306331
2023-02-22 14:19:48.069 CET;26306332
2023-02-22 14:20:06.678 CET;26306333
2023-02-22 14:20:29.729 CET;26306334
2023-02-22 14:20:43.719 CET;26306335
2023-02-22 14:20:57.658 CET;26306336
2023-02-22 14:21:11.678 CET;26306337
2023-02-22 14:21:25.969 CET;26306338
2023-02-22 14:23:16.556 CET;26306339
2023-02-22 14:23:46.286 CET;26306340
2023-02-22 14:24:00.226 CET;26306341
2023-02-22 14:24:14.244 CET;26306342
2023-02-22 14:24:28.296 CET;26306343
2023-02-22 14:24:42.365 CET;26306344
2023-02-22 14:24:56.355 CET;26306345
2023-02-22 14:25:10.625 CET;26306346
2023-02-22 14:25:24.655 CET;26306347
2023-02-22 14:25:38.533 CET;26306348
2023-02-22 14:25:52.515 CET;26306349
2023-02-22 14:26:06.844 CET;26306350
2023-02-22 14:26:20.864 CET;26306351
2023-02-22 14:26:34.825 CET;26306352
2023-02-22 14:26:48.473 CET;26306353
2023-02-22 14:26:58.963 CET;26306354
2023-02-22 14:27:08.483 CET;26306355
2023-02-22 14:27:16.963 CET;26306356
2023-02-22 14:27:25.834 CET;26306357
2023-02-22 14:27:34.243 CET;26306358
2023-02-22 14:27:42.631 CET;26306359
2023-02-22 14:27:51.042 CET;26306360
2023-02-22 14:27:59.512 CET;26306361
2023-02-22 14:28:07.842 CET;26306362
2023-02-22 14:28:16.151 CET;26306363
2023-02-22 14:28:24.482 CET;26306364
2023-02-22 14:28:33.191 CET;26306365
2023-02-22 14:28:42.151 CET;26306366
2023-02-22 14:28:50.721 CET;26306367
2023-02-22 14:28:59.681 CET;26306368
2023-02-22 14:29:08.890 CET;26306369
2023-02-22 14:29:17.921 CET;26306370
2023-02-22 14:29:27.039 CET;26306371
2023-02-22 14:29:36.000 CET;26306372
2023-02-22 14:29:45.200 CET;26306373
2023-02-22 14:29:54.240 CET;26306374
2023-02-22 14:30:03.279 CET;26306375
2023-02-22 14:30:12.390 CET;26306376
2023-02-22 14:30:21.509 CET;26306377
2023-02-22 14:30:30.719 CET;26306378
2023-02-22 14:30:39.839 CET;26306379
2023-02-22 14:30:49.029 CET;26306380
2023-02-22 14:30:58.059 CET;26306381
2023-02-22 14:31:07.029 CET;26306382
2023-02-22 14:31:16.239 CET;26306383
2023-02-22 14:31:25.278 CET;26306384
2023-02-22 14:31:34.398 CET;26306385
2023-02-22 14:31:43.596 CET;26306386
2023-02-22 14:31:52.638 CET;26306387
2023-02-22 14:32:01.677 CET;26306388
2023-02-22 14:32:10.868 CET;26306389
2023-02-22 14:32:19.927 CET;26306390
2023-02-22 14:32:29.038 CET;26306391
2023-02-22 14:32:38.066 CET;26306392
2023-02-22 14:32:47.115 CET;26306393
2023-02-22 14:32:56.476 CET;26306394
2023-02-22 14:33:05.436 CET;26306395
2023-02-22 14:33:14.637 CET;26306396
2023-02-22 14:33:23.686 CET;26306397
2023-02-22 14:33:32.875 CET;26306398
2023-02-22 14:33:41.825 CET;26306399
2023-02-22 14:33:51.035 CET;26306400
2023-02-22 14:34:26.095 CET;26306401
2023-02-22 14:34:34.565 CET;26306402
