time;PressSpeed
2023-02-27 17:49:59.193 CET;8
2023-02-27 17:52:50.894 CET;15
2023-02-27 21:43:23.167 CET;8
2023-02-27 22:14:32.637 CET;17
2023-02-28 00:49:17.732 CET;8
2023-02-28 01:06:25.832 CET;16
2023-02-28 06:20:03.035 CET;8
2023-02-28 06:30:17.487 CET;14
2023-02-28 06:30:18.496 CET;8
2023-02-28 06:31:17.736 CET;0
2023-02-28 06:31:18.736 CET;14
2023-02-28 10:39:04.138 CET;8
2023-02-28 12:01:40.948 CET;15
2023-02-28 17:02:37.095 CET;8
2023-02-28 17:03:14.253 CET;15
2023-02-28 17:04:25.532 CET;8
2023-02-28 17:06:21.000 CET;15
2023-02-28 18:12:40.882 CET;8
2023-02-28 18:13:26.062 CET;0
2023-02-28 18:13:28.072 CET;3
2023-02-28 18:14:20.280 CET;8
2023-02-28 18:15:01.450 CET;15
2023-02-28 19:05:48.621 CET;8
2023-02-28 19:24:20.063 CET;16
